provider_id,hospital_name,state,control_type,operating_costs,gross_charges,ccr,markup
290007,UNIVERSITY MEDICAL CENTER,NV,Government,816908995.0,1532368713.0,0.5331021105231871,1.8758132452685259
510093,MON HEALTH MARION NEIGHBORHOOD HOSPI,WV,Nonprofit,9077114.0,33423720.0,0.27157701177487126,3.6821967863353926
390039,UPMC SOMERSET,PA,Nonprofit,79800290.0,267672471.0,0.29812662356301856,3.354279426804088
140155,PRESENCE ST. MARYS HOSPITAL,IL,Nonprofit,142546365.0,693980939.0,0.20540386196399552,4.8684576348193795
230227,MCLAREN MACOMB,MI,Nonprofit,316106471.0,570409901.0,0.5541742358360642,1.8044866313413748
170197,KANSAS MEDICAL CENTER,KS,For-profit,42299797.0,79032270.0,0.535221840395069,1.868384143782061
41314,DEWITT HOSPITAL & NURSING HOME  INC,AR,Nonprofit,10749616.0,12839981.0,0.8371987466336593,1.1944595044139252
50248,NATIVIDAD MEDICAL CENTER,CA,Government,356613516.0,476749912.0,0.7480096105397918,1.3368812190505983
50145,COMMUNITY HOSP. MONTEREY PENINSULA,CA,Nonprofit,767463191.0,969842224.0,0.7913278799459653,1.2636986833678645
230230,EDWARD W. SPARROW HOSPITAL,MI,Nonprofit,410740337.0,953534574.0,0.4307555784547777,2.3215021465008925
380051,SALEM HOSPITAL,OR,Nonprofit,794040133.0,1183070325.0,0.6711690051054234,1.4899376943709217
440073,MAURY REGIONAL HOSPITAL,TN,Government,345725988.0,940323903.0,0.36766691445043487,2.7198531080631403
50496,JOHN MUIR MEDICAL CENTER - CONCORD,CA,Nonprofit,539276012.0,1378352716.0,0.3912467438414363,2.5559318147457297
50468,MEMORIAL HOSPITAL OF GARDENA,CA,For-profit,127093198.0,219181340.0,0.5798540970686646,1.7245717587498273
260065,MERCY HOSPITAL SPRINGFIELD,MO,Nonprofit,971057047.0,2748702104.0,0.3532783874930959,2.8306288621166864
50454,UCSF MEDICAL CENTER,CA,Government,4302551210.0,8254280595.0,0.5212509025445845,1.9184619060001844
10126,TROY REGIONAL MEDICAL CENTER,AL,Government,34620701.0,122935373.0,0.28161708184673584,3.5509209648874527
670060,BAYLOR SCOTT AND WHITE MC AT SUNNYVA,TX,For-profit,80306606.0,319259234.0,0.25154043312651686,3.9755040077275834
131322,FRANKLIN COUNTY MEDICAL CENTER,ID,Government,32601573.0,33583971.0,0.970748009519184,1.0301334539900882
370023,DUNCAN REGIONAL HOSPITAL,OK,Nonprofit,105233305.0,435137305.0,0.24183930862926128,4.134977087339412
440227,TRISTAR STONECREST MEDICAL CENTER,TN,For-profit,123771605.0,734297423.0,0.16855786377994683,5.932680787325978
110078,EMORY UNIVERSITY HOSPITAL MIDTOWN,GA,Nonprofit,1562621035.0,3086845712.0,0.5062193516589987,1.9754282342679457
140145,ST. JOSEPHS HOSPITAL,IL,Nonprofit,44924310.0,152296985.0,0.29497832803453067,3.3900795582614403
30146,HONORHEALTH SONORAN CROSSING MED CTR,AZ,Nonprofit,118632587.0,457721602.0,0.25918066021275527,3.858312573087528
120006,ADVENTIST HEALTH CASTLE,HI,Nonprofit,170730815.0,356181218.0,0.4793369396586206,2.0862151803117674
140082,LOUIS A. WEISS MEMORIAL HOSPITAL,IL,For-profit,60290460.0,128080191.0,0.4707243136450351,2.1243856988319547
360054,HOLZER,OH,Nonprofit,208102744.0,497423168.0,0.4183615830294418,2.390276833639445
190245,MONROE SURGICAL HOSPITAL,LA,For-profit,31181833.0,118400634.0,0.26335866579903616,3.7971030760122413
340073,DUKE RALEIGH HOSPITAL,NC,Nonprofit,481140291.0,1649395605.0,0.2917070286482302,3.428097035008028
340116,FRYE REGIONAL MEDICAL CENTER,NC,For-profit,196358318.0,904014107.0,0.21720713922443247,4.603900238135061
140062,PALOS COMMUNITY HOSPITAL,IL,Nonprofit,456873174.0,1065961853.0,0.4286018047589551,2.33316796358895
100284,WESTCHESTER GENERAL HOSPITAL,FL,For-profit,57100081.0,173246920.0,0.3295878564536674,3.0340923684504055
530032,EVANSTON REGIONAL,WY,For-profit,28532039.0,82051769.0,0.347732161630787,2.875776561219477
530014,CHEYENNE REGIONAL MEDICAL CENTER,WY,Government,326792873.0,669028617.0,0.48845873658645006,2.047255837797907
110122,SOUTH GEORGIA MEDICAL CENTER,GA,Government,340152615.0,861196757.0,0.3949766557237512,2.531795197282255
230092,W.A. FOOTE MEMORIAL HOSPITAL,MI,Nonprofit,560483942.0,1171043226.0,0.4786193451752224,2.089343044907431
520089,MERITER HOSPITAL  INC.,WI,Nonprofit,477221219.0,966686952.0,0.4936667635915293,2.0256579412492552
500148,WENATCHEE VALLEY HOSPITAL,WA,Nonprofit,96159867.0,189250822.0,0.5081080546112503,1.9680853135955354
50136,PETALUMA VALLEY HOSPITAL,CA,Nonprofit,85107496.0,399135042.0,0.21322982711199784,4.68977541061718
330195,LONG ISLAND JEWISH MEDICAL CENTER,NY,Nonprofit,2612798262.0,5127623925.0,0.5095534111347684,1.9625028076507502
