measure_key,measure_name,measure_desc,hcpcs_cd,diagnosis_restricted
stress,Stress test stable CAD,Stress testing for stable coronary disease,75560,True
stress,Stress test stable CAD,Stress testing for stable coronary disease,75561,True
stress,Stress test stable CAD,Stress testing for stable coronary disease,75562,True
stress,Stress test stable CAD,Stress testing for stable coronary disease,75563,True
stress,Stress test stable CAD,Stress testing for stable coronary disease,75564,True
stress,Stress test stable CAD,Stress testing for stable coronary disease,75574,True
stress,Stress test stable CAD,Stress testing for stable coronary disease,78451,True
stress,Stress test stable CAD,Stress testing for stable coronary disease,78452,True
stress,Stress test stable CAD,Stress testing for stable coronary disease,78453,True
stress,Stress test stable CAD,Stress testing for stable coronary disease,78454,True
stress,Stress test stable CAD,Stress testing for stable coronary disease,78460,True
stress,Stress test stable CAD,Stress testing for stable coronary disease,78461,True
stress,Stress test stable CAD,Stress testing for stable coronary disease,78464,True
stress,Stress test stable CAD,Stress testing for stable coronary disease,78465,True
stress,Stress test stable CAD,Stress testing for stable coronary disease,78472,True
stress,Stress test stable CAD,Stress testing for stable coronary disease,78473,True
stress,Stress test stable CAD,Stress testing for stable coronary disease,78481,True
stress,Stress test stable CAD,Stress testing for stable coronary disease,78483,True
stress,Stress test stable CAD,Stress testing for stable coronary disease,78491,True
stress,Stress test stable CAD,Stress testing for stable coronary disease,78492,True
stress,Stress test stable CAD,Stress testing for stable coronary disease,93015,True
stress,Stress test stable CAD,Stress testing for stable coronary disease,93016,True
stress,Stress test stable CAD,Stress testing for stable coronary disease,93017,True
stress,Stress test stable CAD,Stress testing for stable coronary disease,93018,True
stress,Stress test stable CAD,Stress testing for stable coronary disease,93350,True
stress,Stress test stable CAD,Stress testing for stable coronary disease,93351,True
pci,PCI for stable CAD,Percutaneous coronary intervention for stable CAD,92920,True
pci,PCI for stable CAD,Percutaneous coronary intervention for stable CAD,92924,True
pci,PCI for stable CAD,Percutaneous coronary intervention for stable CAD,92928,True
pci,PCI for stable CAD,Percutaneous coronary intervention for stable CAD,92933,True
pci,PCI for stable CAD,Percutaneous coronary intervention for stable CAD,92937,True
pci,PCI for stable CAD,Percutaneous coronary intervention for stable CAD,92943,True
pci,PCI for stable CAD,Percutaneous coronary intervention for stable CAD,92980,True
pci,PCI for stable CAD,Percutaneous coronary intervention for stable CAD,92982,True
pci,PCI for stable CAD,Percutaneous coronary intervention for stable CAD,C9600,True
pci,PCI for stable CAD,Percutaneous coronary intervention for stable CAD,C9602,True
pci,PCI for stable CAD,Percutaneous coronary intervention for stable CAD,C9604,True
pci,PCI for stable CAD,Percutaneous coronary intervention for stable CAD,C9607,True
pci,PCI for stable CAD,Percutaneous coronary intervention for stable CAD,G0290,True
head,Head imaging for headache,Head imaging for uncomplicated headache,70450,True
head,Head imaging for headache,Head imaging for uncomplicated headache,70460,True
head,Head imaging for headache,Head imaging for uncomplicated headache,70470,True
head,Head imaging for headache,Head imaging for uncomplicated headache,70551,True
head,Head imaging for headache,Head imaging for uncomplicated headache,70552,True
head,Head imaging for headache,Head imaging for uncomplicated headache,70553,True
backscan,Imaging for low back pain,Back imaging for non-specific low back pain,72010,True
backscan,Imaging for low back pain,Back imaging for non-specific low back pain,72020,True
backscan,Imaging for low back pain,Back imaging for non-specific low back pain,72052,True
backscan,Imaging for low back pain,Back imaging for non-specific low back pain,72100,True
backscan,Imaging for low back pain,Back imaging for non-specific low back pain,72110,True
backscan,Imaging for low back pain,Back imaging for non-specific low back pain,72114,True
backscan,Imaging for low back pain,Back imaging for non-specific low back pain,72120,True
backscan,Imaging for low back pain,Back imaging for non-specific low back pain,72131,True
backscan,Imaging for low back pain,Back imaging for non-specific low back pain,72132,True
backscan,Imaging for low back pain,Back imaging for non-specific low back pain,72133,True
backscan,Imaging for low back pain,Back imaging for non-specific low back pain,72141,True
backscan,Imaging for low back pain,Back imaging for non-specific low back pain,72142,True
backscan,Imaging for low back pain,Back imaging for non-specific low back pain,72146,True
backscan,Imaging for low back pain,Back imaging for non-specific low back pain,72147,True
backscan,Imaging for low back pain,Back imaging for non-specific low back pain,72148,True
backscan,Imaging for low back pain,Back imaging for non-specific low back pain,72149,True
backscan,Imaging for low back pain,Back imaging for non-specific low back pain,72156,True
backscan,Imaging for low back pain,Back imaging for non-specific low back pain,72157,True
backscan,Imaging for low back pain,Back imaging for non-specific low back pain,72158,True
backscan,Imaging for low back pain,Back imaging for non-specific low back pain,72200,True
backscan,Imaging for low back pain,Back imaging for non-specific low back pain,72202,True
backscan,Imaging for low back pain,Back imaging for non-specific low back pain,72220,True
eeg,EEG for headache,EEG for headache,95812,True
eeg,EEG for headache,EEG for headache,95813,True
eeg,EEG for headache,EEG for headache,95816,True
eeg,EEG for headache,EEG for headache,95819,True
eeg,EEG for headache,EEG for headache,95822,True
eeg,EEG for headache,EEG for headache,95827,True
eeg,EEG for headache,EEG for headache,95830,True
eeg,EEG for headache,EEG for headache,95957,True
ctdsync,Carotid imaging for syncope,Carotid imaging for syncope,3100F,True
ctdsync,Carotid imaging for syncope,Carotid imaging for syncope,70498,True
ctdsync,Carotid imaging for syncope,Carotid imaging for syncope,70547,True
ctdsync,Carotid imaging for syncope,Carotid imaging for syncope,70548,True
