YEAR,ffs_avg_risk_score,BENES_FFS_CNT,BENES_MA_CNT,MA_PRTCPTN_RATE,BENE_AVG_AGE,BENE_DUAL_PCT,geo_lvl,geo_desc,geo_cd,ffs_risk_score_yoy_pct
2018,1.01,798312.0,360905.0,0.3113,71.0,0.2074,State,IN,18,1.0000000000000009
2019,1.01,777404.0,398219.0,0.3387,71.0,0.1947,State,IN,18,0.0
2020,1.01,745041.0,458178.0,0.3808,72.0,0.1817,State,IN,18,0.0
2021,1.0,695359.0,524261.0,0.4299,72.0,0.1667,State,IN,18,-0.990099009900991
2022,1.0,662579.0,579080.0,0.4664,72.0,0.165,State,IN,18,0.0
2023,0.99,627304.0,632822.0,0.5022,73.0,0.1574,State,IN,18,-1.0000000000000009
2014,0.93,389990.0,63136.0,0.1393,72.0,0.1624,State,KS,20,
2015,0.93,396093.0,65593.0,0.1421,72.0,0.1558,State,KS,20,0.0
2016,0.92,398740.0,72002.0,0.153,72.0,0.1502,State,KS,20,-1.0752688172043001
2017,0.92,399263.0,79189.0,0.1655,72.0,0.1444,State,KS,20,0.0
2018,0.93,402023.0,87557.0,0.1788,72.0,0.1382,State,KS,20,1.0869565217391353
2019,0.94,400112.0,98419.0,0.1974,72.0,0.1304,State,KS,20,1.0752688172043001
2020,0.94,394126.0,115207.0,0.2262,73.0,0.1219,State,KS,20,0.0
2021,0.95,378126.0,138635.0,0.2683,73.0,0.1136,State,KS,20,1.0638297872340496
2022,0.95,366348.0,161066.0,0.3054,73.0,0.109,State,KS,20,0.0
2023,0.94,355931.0,179856.0,0.3357,73.0,0.0995,State,KS,20,-1.0526315789473717
2014,1.0,596117.0,205124.0,0.256,69.0,0.2744,State,KY,21,
2015,1.01,593816.0,221300.0,0.2715,69.0,0.2707,State,KY,21,1.0000000000000009
2016,1.01,591223.0,238015.0,0.287,69.0,0.2615,State,KY,21,0.0
2017,1.01,583799.0,254924.0,0.3039,70.0,0.2556,State,KY,21,0.0
2018,1.01,575920.0,277215.0,0.3249,70.0,0.2471,State,KY,21,0.0
2019,1.01,550717.0,308388.0,0.359,70.0,0.2307,State,KY,21,0.0
2020,1.01,514796.0,357671.0,0.41,70.0,0.2269,State,KY,21,0.0
2021,1.0,471191.0,408395.0,0.4643,71.0,0.206,State,KY,21,-0.990099009900991
2022,1.0,431278.0,457481.0,0.5147,71.0,0.1801,State,KY,21,0.0
2023,1.0,400268.0,496257.0,0.5535,72.0,0.1627,State,KY,21,0.0
2014,1.07,508967.0,217611.0,0.2995,69.0,0.3114,State,LA,22,
2015,1.07,505746.0,236075.0,0.3182,70.0,0.304,State,LA,22,0.0
2016,1.08,507463.0,252629.0,0.3324,70.0,0.299,State,LA,22,0.9345794392523477
2017,1.07,499753.0,273299.0,0.3535,70.0,0.2952,State,LA,22,-0.92592592592593
2018,1.07,492816.0,297241.0,0.3762,70.0,0.2881,State,LA,22,0.0
2019,1.08,474144.0,327500.0,0.4085,70.0,0.2746,State,LA,22,0.9345794392523477
2020,1.08,456093.0,366584.0,0.4456,71.0,0.258,State,LA,22,0.0
2021,1.07,413194.0,411619.0,0.499,71.0,0.2418,State,LA,22,-0.92592592592593
2022,1.05,387826.0,451416.0,0.5379,72.0,0.2261,State,LA,22,-1.869158878504673
2023,1.05,360989.0,486004.0,0.5738,72.0,0.199,State,LA,22,0.0
2014,1.01,836441.0,227728.0,0.214,71.0,0.2755,State,MA,25,
2015,1.01,854059.0,244715.0,0.2227,71.0,0.2834,State,MA,25,0.0
2016,1.01,865717.0,257767.0,0.2294,71.0,0.2795,State,MA,25,0.0
2017,1.01,861256.0,281594.0,0.2464,71.0,0.2709,State,MA,25,0.0
2018,1.0,864096.0,299817.0,0.2576,71.0,0.2592,State,MA,25,-0.990099009900991
2019,1.01,864404.0,324003.0,0.2726,72.0,0.2496,State,MA,25,1.0000000000000009
2020,1.01,861913.0,356631.0,0.2927,72.0,0.2469,State,MA,25,0.0
2021,1.02,844294.0,392308.0,0.3172,72.0,0.2433,State,MA,25,0.990099009900991
2022,1.01,823106.0,428104.0,0.3422,73.0,0.2388,State,MA,25,-0.9803921568627416
2023,1.02,796538.0,465635.0,0.3689,73.0,0.2322,State,MA,25,0.990099009900991
2014,1.01,728265.0,76467.0,0.095,72.0,0.1762,State,MD,24,
2015,1.0,749425.0,76997.0,0.0932,72.0,0.1787,State,MD,24,-0.990099009900991
2016,1.0,757618.0,89815.0,0.106,72.0,0.1795,State,MD,24,0.0
2017,0.99,758405.0,107593.0,0.1242,72.0,0.1823,State,MD,24,-1.0000000000000009
2018,0.99,768524.0,119816.0,0.1349,72.0,0.18,State,MD,24,0.0
2019,0.99,783221.0,123739.0,0.1364,72.0,0.1779,State,MD,24,0.0
2020,0.98,792848.0,135045.0,0.1455,73.0,0.1733,State,MD,24,-1.0101010101010055
2021,0.98,764777.0,169057.0,0.181,73.0,0.1766,State,MD,24,0.0
2022,0.99,747584.0,200619.0,0.2116,73.0,0.1741,State,MD,24,1.0204081632652962
2023,0.99,727278.0,236391.0,0.2453,73.0,0.1696,State,MD,24,0.0
2014,0.92,221458.0,60894.0,0.2157,70.0,0.3808,State,ME,23,
2015,0.93,218587.0,68917.0,0.2397,70.0,0.3687,State,ME,23,1.0869565217391353
2016,0.93,215995.0,77865.0,0.265,70.0,0.3563,State,ME,23,0.0
2017,0.93,210245.0,90546.0,0.301,70.0,0.348,State,ME,23,0.0
2018,0.93,203921.0,103897.0,0.3375,71.0,0.3321,State,ME,23,0.0
2019,0.93,192176.0,119362.0,0.3831,71.0,0.3093,State,ME,23,0.0
2020,0.94,173706.0,138847.0,0.4442,71.0,0.3155,State,ME,23,1.0752688172043001
2021,0.94,161899.0,166224.0,0.5066,71.0,0.2938,State,ME,23,0.0
2022,0.93,149663.0,186711.0,0.5551,72.0,0.28,State,ME,23,-1.0638297872340274
2023,0.93,139975.0,202928.0,0.5918,72.0,0.2657,State,ME,23,0.0
2014,1.06,1215731.0,559496.0,0.3152,70.0,0.2221,State,MI,26,
2015,1.05,1169509.0,609913.0,0.3428,71.0,0.2031,State,MI,26,-0.9433962264150941
2016,1.06,1172704.0,664554.0,0.3617,71.0,0.2063,State,MI,26,0.952380952380949
2017,1.06,1158685.0,718043.0,0.3826,71.0,0.2111,State,MI,26,0.0
2018,1.06,1107665.0,810213.0,0.4225,71.0,0.2207,State,MI,26,0.0
2019,1.06,1079571.0,861118.0,0.4437,71.0,0.2119,State,MI,26,0.0
2020,1.06,979609.0,1005523.0,0.5065,71.0,0.2073,State,MI,26,0.0
2021,1.06,904813.0,1107781.0,0.5504,71.0,0.1999,State,MI,26,0.0
2022,1.05,832427.0,1203668.0,0.5912,72.0,0.1979,State,MI,26,-0.9433962264150941
2023,1.04,773389.0,1296892.0,0.6264,72.0,0.1927,State,MI,26,-0.952380952380949
2014,0.94,369520.0,461875.0,0.5555,70.0,0.2461,State,MN,27,
2015,0.96,362008.0,495128.0,0.5777,70.0,0.2549,State,MN,27,2.127659574468077
2016,0.96,353171.0,527078.0,0.5988,70.0,0.2585,State,MN,27,0.0
2017,0.98,342843.0,558011.0,0.6194,70.0,0.2591,State,MN,27,2.083333333333326
2018,0.98,347019.0,582196.0,0.6265,70.0,0.2528,State,MN,27,0.0
2019,0.97,481200.0,466613.0,0.4923,71.0,0.1799,State,MN,27,-1.0204081632653073
2020,0.97,466480.0,506340.0,0.5205,71.0,0.1718,State,MN,27,0.0
2021,0.99,436753.0,561659.0,0.5626,71.0,0.1771,State,MN,27,2.0618556701030855
2022,1.01,416832.0,605401.0,0.5922,72.0,0.1805,State,MN,27,2.020202020202011
2023,1.02,395499.0,648440.0,0.6211,72.0,0.1796,State,MN,27,0.990099009900991
2014,1.0,756524.0,291451.0,0.2781,71.0,0.195,State,MO,29,
2015,1.0,749863.0,319886.0,0.299,71.0,0.192,State,MO,29,0.0
2016,1.01,742845.0,345214.0,0.3173,71.0,0.1889,State,MO,29,1.0000000000000009
2017,1.02,729320.0,376922.0,0.3407,71.0,0.1854,State,MO,29,0.990099009900991
2018,1.02,718509.0,407809.0,0.3621,71.0,0.1769,State,MO,29,0.0
2019,1.02,688601.0,454822.0,0.3978,71.0,0.1695,State,MO,29,0.0
2020,1.02,666693.0,500497.0,0.4288,71.0,0.1608,State,MO,29,0.0
2021,1.02,624531.0,557022.0,0.4714,72.0,0.1474,State,MO,29,0.0
2022,1.02,588289.0,611180.0,0.5095,72.0,0.137,State,MO,29,0.0
2023,1.01,551213.0,666663.0,0.5474,73.0,0.1271,State,MO,29,-0.9803921568627416
2014,1.0,456374.0,70781.0,0.1343,69.0,0.3136,State,MS,28,
2015,1.01,458036.0,77677.0,0.145,70.0,0.3083,State,MS,28,1.0000000000000009
2016,1.01,458829.0,85844.0,0.1576,70.0,0.301,State,MS,28,0.0
2017,1.02,455993.0,94926.0,0.1723,70.0,0.2949,State,MS,28,0.990099009900991
2018,1.03,454172.0,106611.0,0.1901,70.0,0.2863,State,MS,28,0.9803921568627416
2019,1.04,449193.0,116031.0,0.2053,70.0,0.2726,State,MS,28,0.9708737864077666
2020,1.05,434319.0,138764.0,0.2421,71.0,0.2514,State,MS,28,0.9615384615384581
2021,1.04,397940.0,175079.0,0.3055,71.0,0.2271,State,MS,28,-0.952380952380949
2022,1.03,368984.0,209796.0,0.3625,72.0,0.2023,State,MS,28,-0.9615384615384581
2023,1.02,342866.0,239051.0,0.4108,72.0,0.1778,State,MS,28,-0.9708737864077666
2014,0.84,151505.0,33126.0,0.1794,72.0,0.16,State,MT,30,
2015,0.84,153902.0,36333.0,0.191,72.0,0.1615,State,MT,30,0.0
2016,0.83,155819.0,40948.0,0.2081,72.0,0.1633,State,MT,30,-1.1904761904761862
2017,0.84,158973.0,44259.0,0.2178,72.0,0.165,State,MT,30,1.2048192771084265
2018,0.84,168791.0,40492.0,0.1935,72.0,0.1582,State,MT,30,0.0
2019,0.83,172533.0,43973.0,0.2031,72.0,0.1518,State,MT,30,-1.1904761904761862
2020,0.82,175258.0,48314.0,0.2161,72.0,0.1445,State,MT,30,-1.2048192771084376
2021,0.83,173471.0,55236.0,0.2415,72.0,0.1395,State,MT,30,1.2195121951219523
2022,0.83,171148.0,62932.0,0.2688,72.0,0.1358,State,MT,30,0.0
2023,0.83,168821.0,70065.0,0.2933,73.0,0.1299,State,MT,30,0.0
2014,0.99,1165099.0,491172.0,0.2966,70.0,0.2347,State,NC,37,
2015,0.99,1172975.0,526439.0,0.3098,70.0,0.2289,State,NC,37,0.0
2016,0.99,1185183.0,562542.0,0.3219,71.0,0.2225,State,NC,37,0.0
2017,1.0,1186319.0,603414.0,0.3372,71.0,0.219,State,NC,37,1.0101010101010166
2018,1.0,1161335.0,660078.0,0.3624,71.0,0.2009,State,NC,37,0.0
2019,1.0,1137491.0,734074.0,0.3922,71.0,0.1867,State,NC,37,0.0
2020,1.0,1101447.0,825189.0,0.4283,71.0,0.1715,State,NC,37,0.0
2021,1.0,1030968.0,927283.0,0.4735,72.0,0.1556,State,NC,37,0.0
2022,1.0,966350.0,1033740.0,0.5168,72.0,0.1409,State,NC,37,0.0
2023,1.0,895592.0,1142479.0,0.5606,73.0,0.1257,State,NC,37,0.0
2014,0.9,92030.0,16174.0,0.1495,73.0,0.1578,State,ND,38,
2015,0.9,91316.0,18952.0,0.1719,73.0,0.1567,State,ND,38,0.0
2016,0.9,90018.0,22832.0,0.2023,73.0,0.1562,State,ND,38,0.0
