ein,filer_name,filer_state,ccn,rpt_rec_num,hcris_name,hcris_state,jaccard,hospital_facilities_cnt,match_type,match_scope,allocation_share,total_costs
640345119,RUSH MEDICAL FOUNDATION,MS,250069,824808,OCHSNER RUSH MEDICAL CENTER,MS,1.0,2,system_keyword,same_state,1.0,153860622.0
391370626,SOUTHWEST HEALTH CENTER INC,WI,521354,792977,SOUTHWEST HEALTH CENTER,WI,1.0,2,multi_facility_jaccard,same_state,1.0,86447978.0
860422559,Phoenix Children's Hospital,AZ,033302,773680,PHOENIX CHILDRENS HOSPITAL,AZ,1.0,2,multi_facility_jaccard,same_state,1.0,1052804632.0
560585243,Pitt County Memorial Hospital Inc,NC,340040,811847,PITT COUNTY MEMORIAL HOSPITAL INC,NC,1.0,2,multi_facility_jaccard,same_state,1.0,1403791287.0
750827446,Hendrick Medical Center,TX,450229,827312,HENDRICK MEDICAL CENTER,TX,1.0,2,multi_facility_jaccard,same_state,1.0,839178652.0
201106426,MARY WASHINGTON HEALTHCARE GROUP RETURN,VA,490022,826739,MARY WASHINGTON HOSPITAL,VA,1.0,2,multi_facility_jaccard,same_state,1.0,510735933.0
570359174,ANMED HEALTH,SC,420027,821995,ANMED HEALTH,SC,1.0,2,multi_facility_jaccard,same_state,1.0,581777231.0
366000085,THOREK MEMORIAL HOSPITAL,IL,140115,825522,THOREK MEMORIAL HOSPITAL,IL,1.0,2,multi_facility_jaccard,same_state,1.0,57450777.0
590872594,SOUTH MIAMI HOSPITAL INC,FL,100154,823146,SOUTH MIAMI HOSPITAL,FL,1.0,2,multi_facility_jaccard,same_state,1.0,584363372.0
453576100,MCLEOD LORIS SEACOAST HOSPITAL,SC,420105,821830,MCLEOD LORIS SEACOAST HOSPITAL,SC,1.0,2,multi_facility_jaccard,same_state,1.0,229076059.0
590657322,Baptist Health Care Inc,FL,040076,825964,BAPTIST HEALTH MEDICAL CENTER - HSC,AR,1.0,2,system_keyword,multi_state,0.1628,20307725.0
590657322,Baptist Health Care Inc,FL,370016,818697,BASS BAPTIST HEALTH CENTER,OK,1.0,2,system_keyword,multi_state,0.8372,104413621.0
710772737,WHITE COUNTY MEDICAL CENTER INC,AR,040014,825959,WHITE COUNTY MEDICAL CENTER,AR,1.0,2,multi_facility_jaccard,same_state,1.0,230153624.0
