provider_number,hospital_name,state,ownership,beds,discharges,cmi,teaching,ag_cost_total,med_records_cost,nursing_admin_cost,full_overhead,total_hospital_costs,admin_per_discharge,admin_pct_of_total,overhead_per_discharge,overhead_pct_of_total,commercial_payer_pct,medicare_pct,ag_purchased_services,ag_it,ag_insurance,ag_other
413025,116 EDDIE DOWLING HIGHWAY,PR,For-Profit,20,4765,1.0,No,1823992,190883,0,4000276,9158453,382.79,19.92,839.51,43.68,0.533,0.448,0,0,0,0
443037,1250 TENNOVA MEDICAL WAY,TN,For-Profit,57,14391,1.0,No,3721979,315419,0,6987919,18861073,258.63,19.73,485.58,37.05,0.519,0.472,0,0,0,0
443038,310 21ST AVENUE NORTH,TN,For-Profit,40,9107,1.0,No,3766190,231374,0,6153973,15678630,413.55,24.02,675.74,39.25,0.592,0.408,0,0,0,0
520095,260 26TH STREET,WI,Nonprofit,36,3110,1.0,No,12835105,1493266,0,33774003,94150426,4127.04,13.63,10859.81,35.87,0.583,0.396,0,0,0,0
521323,216 SUNSET PLACE,WI,Nonprofit,16,488,2.0,No,10093828,1444965,0,17324845,38136838,20684.07,26.47,35501.73,45.43,0.582,0.395,0,0,0,0
523028,5115 N. BILTMORE LANE,WI,For-Profit,50,16686,1.0,No,6054233,326249,0,9787710,23728217,362.83,25.51,586.58,41.25,0.525,0.46,0,0,0,0
043037,6700 CHAD COLLEY BOULEVARD,AR,For-Profit,50,11008,1.0,No,3351839,210063,0,7336800,15885423,304.49,21.1,666.5,46.19,0.312,0.679,0,0,0,0
100118,60 MEMORIAL MEDICAL PARKWAY,FL,Nonprofit,81,38732,1.0,No,26610558,1486959,0,58876466,256412001,687.04,10.38,1520.1,22.96,0.645,0.338,0,0,0,0
103304,13535 NEMOURS PARKWAY,FL,Nonprofit,55,10183,1.0,No,121556296,620851,0,209055273,509585945,11937.18,23.85,20529.83,41.02,0.248,0.007,0,0,0,0
104073,1900 HARRISON AVENUE,FL,For-Profit,86,22304,1.0,No,4649959,384562,0,9422843,18525663,208.48,25.1,422.47,50.86,0.967,0.033,0,0,0,0
190266,10105 PARK ROWE CIRCLE,LA,For-Profit,23,2436,1.0,No,4117906,554439,0,6230784,37102665,1690.44,11.1,2557.79,16.79,0.77,0.23,0,0,0,0
