hcpcs_cd,modifier,description,status,work_rvu,pe_rvu_nf,pe_rvu_f,mp_rvu,total_rvu_nf,total_rvu_f,conversion_factor
77261,,Ther radiology tx plng smpl,A,1.3,0.76,0.76,0.06,2.12,2.12,32.3465
77262,,Ther radiology tx plng intrm,A,2.0,1.15,1.15,0.13,3.28,3.28,32.3465
77263,,Ther radiology tx plng cplx,A,3.14,1.72,1.72,0.24,5.1,5.1,32.3465
77280,,Ther rad simulaj field smpl,A,0.7,7.29,7.29,0.05,8.04,8.04,32.3465
77285,,Ther rad simulaj field intrm,A,1.05,12.23,12.23,0.06,13.34,13.34,32.3465
77290,,Ther rad simulaj field cplx,A,1.56,11.57,11.57,0.09,13.22,13.22,32.3465
77293,,Respirator motion mgmt simul,A,2.0,9.98,9.98,0.1,12.08,12.08,32.3465
77295,,3-d radiotherapy plan,A,4.29,10.06,10.06,0.24,14.59,14.59,32.3465
77299,,Unlisted px ther rad tx plng,C,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
77300,,Radiation therapy dose plan,A,0.62,1.36,1.36,0.04,2.02,2.02,32.3465
77301,,Radiotherapy dose plan imrt,A,7.99,46.89,46.89,0.7,55.58,55.58,32.3465
77306,,Telethx isodose plan simple,A,1.4,3.03,3.03,0.07,4.5,4.5,32.3465
77307,,Telethx isodose plan cplx,A,2.9,5.69,5.69,0.17,8.76,8.76,32.3465
77316,,Brachytx isodose plan simple,A,1.4,5.95,5.95,0.09,7.44,7.44,32.3465
77317,,Brachytx isodose intermed,A,1.83,7.84,7.84,0.12,9.79,9.79,32.3465
77318,,Brachytx isodose complex,A,2.9,10.81,10.81,0.21,13.92,13.92,32.3465
77321,,Special teletx port plan,A,0.95,1.86,1.86,0.05,2.86,2.86,32.3465
77331,,Special radiation dosimetry,A,0.87,1.05,1.05,0.05,1.97,1.97,32.3465
77332,,Radiation treatment aid(s),A,0.45,0.75,0.75,0.03,1.23,1.23,32.3465
77333,,Radiation treatment aid(s),A,0.75,3.32,3.32,0.04,4.11,4.11,32.3465
77334,,Radiation treatment aid(s),A,1.15,2.6,2.6,0.05,3.8,3.8,32.3465
77336,,Radiation physics consult,A,0.0,2.67,2.67,0.07,2.74,2.74,32.3465
77338,,Design mlc device for imrt,A,4.29,9.73,9.73,0.25,14.27,14.27,32.3465
77370,,Radiation physics consult,A,0.0,4.34,4.34,0.16,4.5,4.5,32.3465
77371,,Srs multisource,C,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
77372,,Srs linear based,A,0.0,27.74,27.74,0.21,27.95,27.95,32.3465
77373,,Strtctc bdy rad ther tx dlvr,A,0.0,29.08,29.08,0.27,29.35,29.35,32.3465
77385,,Ntsty modul rad tx dlvr smpl,I,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
77386,,Ntsty modul rad tx dlvr cplx,I,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
77387,,Guidance for radj tx dlvr,I,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
77399,,Unlisted px med radj physics,C,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
77401,,Radiation tx delivery supfc,A,0.0,1.22,1.22,0.01,1.23,1.23,32.3465
77402,,Radiation tx delivery simple,I,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
77407,,Radiation tx delivery intrm,I,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
77412,,Radiation tx delivery complx,I,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
77417,,Ther radiology port image(s),A,0.0,0.47,0.47,0.02,0.49,0.49,32.3465
77423,,Neutron beam tx complex,C,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
