key,ACK_ID,participants,fund_type,broker_tot,broker_comm,broker_fees,premium,covered,sc_total,sc_direct,sc_indirect,broker_pct,admin_per_p
726073441|501,20240625095059NAL0010388880003,104.0,mixed,169190.0,169190.0,0.0,2033248.0,952.0,42287.0,42287.0,0.0,0.08321168888399251,406.6057692307692
726073441|501,20240625095059NAL0010388880005,118.0,mixed,169190.0,169190.0,0.0,2033248.0,952.0,267526.0,267526.0,0.0,0.08321168888399251,2267.169491525424
726073441|501,20240625095059NAL0010388880004,109.0,mixed,169190.0,169190.0,0.0,2033248.0,952.0,203922.0,203922.0,0.0,0.08321168888399251,1870.8440366972477
381859432|502,20240523080928NAL0010352082001,127.0,mixed,44347.0,43356.0,991.0,1330023.0,520.0,23237.0,23237.0,0.0,0.033343032413725174,182.96850393700788
562468829|501,20240523102305NAL0002419347001,1145.0,fully_insured,136828.0,116293.0,20535.0,11110496.0,2327.0,23421.0,23421.0,0.0,0.012315201769569963,20.455021834061135
135562167|503,20240521122622NAL0001325763001,230.0,mixed,13575.0,13575.0,0.0,169398.0,77.0,992748.0,986096.0,6652.0,0.08013671944178798,4316.295652173913
381438667|501,20240522160212NAL0002180051002,390.0,fully_insured,84610.0,84610.0,0.0,295293.0,1451.0,20536.0,20536.0,0.0,0.2865289729184234,52.656410256410254
381141440|504,20240522160212NAL0002180051001,929.0,mixed,68052.0,55137.0,12915.0,603767.0,3766.0,965224.0,965224.0,0.0,0.11271235426911375,1038.9924650161463
420818682|508,20240706115523NAL0006660003001,396.0,fully_insured,36524.0,36524.0,0.0,3002792.0,450.0,122104.0,122104.0,0.0,0.012163346645388692,308.34343434343435
390698170|501,20240705104645NAL0010070273001,1673.0,mixed,133868.0,115082.0,18786.0,1315055.0,1679.0,6886535.0,6864569.0,21966.0,0.10179650280786735,4116.279139270771
542017905|501,20240723122517NAL0007268723001,394.0,mixed,12051.0,12051.0,0.0,722369.0,394.0,119159.0,119159.0,0.0,0.016682609580422194,302.43401015228426
870217645|501,20241014102556NAL0013131219001,662.0,mixed,33257.0,33257.0,0.0,533770.0,675.0,417638.0,417638.0,0.0,0.062305862075425746,630.8731117824774
411960764|501,20241014103939NAL0045648496001,6496.0,mixed,787733.0,581687.0,206046.0,68203038.0,17188.0,798608.0,798608.0,0.0,0.011549822751297383,122.9384236453202
361976810|501,20240718134102NAL0003475667001,1003.0,mixed,30865.0,30865.0,0.0,9677974.0,1003.0,12511.0,12511.0,0.0,0.0031892005496191663,12.47357926221336
381878678|501,20240723154507NAL0011603217001,116.0,mixed,104300.0,96955.0,7345.0,1181402.0,313.0,104301.0,104301.0,0.0,0.08828493603362784,899.1465517241379
590873652|505,20240718112524NAL0003115747001,260.0,mixed,99800.0,99800.0,0.0,646453.0,697.0,29910.0,29910.0,0.0,0.1543809062685145,115.03846153846153
