measure_key,measure_name,pos_group,paid,measure_total_paid,share
eeg,EEG for headache,home,1538539.43,87808444.85000001,0.017521542861033825
eeg,EEG for headache,alf,408381.93999999994,87808444.85000001,0.004650827613421739
eeg,EEG for headache,nf,279051.32,87808444.85000001,0.0031779553831831698
eeg,EEG for headache,other,167638.38999999998,87808444.85000001,0.001909137444426565
eeg,EEG for headache,er,150512.59,87808444.85000001,0.0017141015338230305
eeg,EEG for headache,indep_clinic,150207.47999999998,87808444.85000001,0.0017106268110839908
eeg,EEG for headache,indep_lab,21787.13,87808444.85000001,0.0002481211236256167
eeg,EEG for headache,snf,16415.68,87808444.85000001,0.0001869487613411479
eeg,EEG for headache,group_home,16225.59,87808444.85000001,0.00018478393539160827
eeg,EEG for headache,rehab_inp,8640.77,87808444.85000001,9.840477205536113e-05
eeg,EEG for headache,asc,5739.1,87808444.85000001,6.53593172023932e-05
eeg,EEG for headache,fqhc,4819.969999999999,87808444.85000001,5.489187296545087e-05
eeg,EEG for headache,inp_psy,3220.7799999999997,87808444.85000001,3.6679615559778353e-05
eeg,EEG for headache,phl_state,271.87,87808444.85000001,3.096171449846603e-06
eeg,EEG for headache,ambulance_land,0.0,87808444.85000001,0.0
eeg,EEG for headache,rural_hc,0.0,87808444.85000001,0.0
head,Head imaging for headache,office,113314354.87,372049186.83,0.30456821001406087
head,Head imaging for headache,er,101100955.31,372049186.83,0.2717408312901271
head,Head imaging for headache,inpatient,74448356.31,372049186.83,0.20010353185912916
head,Head imaging for headache,hopd_on_campus,66435478.54,372049186.83,0.17856638555255408
head,Head imaging for headache,other,9463203.620000001,372049186.83,0.025435356278104195
head,Head imaging for headache,indep_clinic,7237037.99,372049186.83,0.019451831226033056
head,Head imaging for headache,snf,18192.57,372049186.83,4.889829260213572e-05
head,Head imaging for headache,indep_lab,10271.88,372049186.83,2.7608930118945585e-05
head,Head imaging for headache,asc,6593.219999999999,372049186.83,1.7721366511177546e-05
head,Head imaging for headache,rehab_inp,4727.88,372049186.83,1.2707674596155764e-05
head,Head imaging for headache,inp_psy,3816.67,372049186.83,1.025850918401267e-05
head,Head imaging for headache,nf,2690.45,372049186.83,7.231436313363975e-06
head,Head imaging for headache,fqhc,2482.19,372049186.83,6.671671617264371e-06
head,Head imaging for headache,rural_hc,528.7,372049186.83,1.4210486643035679e-06
head,Head imaging for headache,rehab_outp,290.69,372049186.83,7.813214227849519e-07
head,Head imaging for headache,home,123.21,372049186.83,3.31165889784079e-07
head,Head imaging for headache,alf,82.73,372049186.83,2.2236307168116922e-07
head,Head imaging for headache,esrd,0.0,372049186.83,0.0
head,Head imaging for headache,psy_partial,0.0,372049186.83,0.0
homocy,Homocysteine testing,indep_lab,3883941.7399999998,4423413.67,0.8780417183998077
homocy,Homocysteine testing,office,537961.77,4423413.67,0.12161688011422184
homocy,Homocysteine testing,indep_clinic,368.76,4423413.67,8.336547913231909e-05
homocy,Homocysteine testing,home,333.64,4423413.67,7.542590969114585e-05
homocy,Homocysteine testing,nf,316.08,4423413.67,7.145612497055921e-05
homocy,Homocysteine testing,alf,245.83999999999997,4423413.67,5.557698608821272e-05
homocy,Homocysteine testing,hopd_on_campus,175.6,4423413.67,3.9697847205866235e-05
homocy,Homocysteine testing,snf,70.24,4423413.67,1.5879138882346492e-05
homocy,Homocysteine testing,er,0.0,4423413.67,0.0
homocy,Homocysteine testing,inpatient,0.0,4423413.67,0.0
homocy,Homocysteine testing,other,0.0,4423413.67,0.0
hyperco,Hypercoagulability after DVT,indep_lab,12330500.04,13444093.459999999,0.9171685749349142
hyperco,Hypercoagulability after DVT,office,1110342.1600000001,13444093.459999999,0.08258958949546014
hyperco,Hypercoagulability after DVT,nf,1324.69,13444093.459999999,9.85332334933054e-05
