measure_key,measure_name,mod1,paid,measure_total_paid,share
bmd,Frequent BMD test,GW,15566.82,63890846.81,0.00024364710717159454
bmd,Frequent BMD test,X1,6027.7,63890846.81,9.434371746433892e-05
bmd,Frequent BMD test,MH,4983.72,63890846.81,7.800366169540209e-05
bmd,Frequent BMD test,RT,3706.54,63890846.81,5.80136308260648e-05
bmd,Frequent BMD test,AQ,3065.9500000000003,63890846.81,4.798731200288501e-05
bmd,Frequent BMD test,GV,3046.7599999999998,63890846.81,4.7686955990120484e-05
bmd,Frequent BMD test,MG,2665.6099999999997,63890846.81,4.172131272460747e-05
bmd,Frequent BMD test,XE,2145.77,63890846.81,3.358493598278855e-05
bmd,Frequent BMD test,CR,1336.31,63890846.81,2.0915515550669534e-05
bmd,Frequent BMD test,77,1210.8899999999999,63890846.81,1.8952480057135117e-05
bmd,Frequent BMD test,CC,1141.73,63890846.81,1.7870008882419445e-05
bmd,Frequent BMD test,76,942.09,63890846.81,1.4745304641236137e-05
bmd,Frequent BMD test,Q1,896.91,63890846.81,1.4038161094769186e-05
bmd,Frequent BMD test,KX,390.74,63890846.81,6.1157430134239915e-06
bmd,Frequent BMD test,52,256.5,63890846.81,4.014659576555392e-06
bmd,Frequent BMD test,XP,227.44,63890846.81,3.559821341488336e-06
bmd,Frequent BMD test,GX,222.32,63890846.81,3.479684666899784e-06
bmd,Frequent BMD test,GZ,207.09,63890846.81,3.2413093633873532e-06
bmd,Frequent BMD test,X4,154.01999999999998,63890846.81,2.410673949243904e-06
bmd,Frequent BMD test,95,142.7,63890846.81,2.233496770270777e-06
bmd,Frequent BMD test,QJ,121.11,63890846.81,1.895576691292879e-06
bmd,Frequent BMD test,SA,120.13,63890846.81,1.880238030922414e-06
bmd,Frequent BMD test,FA,100.93,63890846.81,1.579725501215344e-06
bmd,Frequent BMD test,ME,97.9,63890846.81,1.5323008676209467e-06
bmd,Frequent BMD test,GT,72.56,63890846.81,1.1356869351846364e-06
