hcpcs_cd,phys_paid,phys_alowd,phys_srvcs,hopd_paid,hopd_alowd,hopd_srvcs,combined_paid,combined_alowd,low_value_share_pass1,primary_measure,max_share_v2,primary_measure_v2,low_value_share_v2,lv_paid_v2,lv_alowd_v2,patient_oop_v2,delta_v_pass1_dedup,share_changed
45392,34675.82999978,43882.1199995,146.0,0.0,0.0,0.0,34675.82999978,43882.1199995,0.15,colon,0.15,colon,0.15,5201.374499967,6582.317999925,1380.9434999579998,0.0,False
62311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,spinj,0.35,spinj,0.35,0.0,0.0,0.0,0.0,False
64475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,spinj,0.35,spinj,0.35,0.0,0.0,0.0,0.0,False
64483,178739656.00183094,229631698.34135145,903960.0,0.0,0.0,0.0,178739656.00183094,229631698.34135145,0.35,spinj,0.35,spinj,0.35,62558879.600640826,80371094.419473,17812214.81883218,0.0,False
64493,113123021.8486673,144863056.33913794,625203.0,0.0,0.0,0.0,113123021.8486673,144863056.33913794,0.35,spinj,0.35,spinj,0.35,39593057.64703355,50702069.71869828,11109012.071664728,0.0,False
70450,156288521.42905042,207182606.56303713,4973151.7,0.0,0.0,0.0,156288521.42905042,207182606.56303713,0.6,sync,0.6,sync,0.6,93773112.85743025,124309563.93782227,30536451.080392018,0.0,False
70460,972651.150009095,1272623.429991689,19477.0,0.0,0.0,0.0,972651.150009095,1272623.429991689,0.6,sync,0.6,sync,0.6,583590.6900054569,763574.0579950134,179983.36798955651,0.0,False
70470,3912976.270004907,5162262.450026078,62791.0,0.0,0.0,0.0,3912976.270004907,5162262.450026078,0.6,sync,0.6,sync,0.6,2347785.762002944,3097357.470015647,749571.7080127029,0.0,False
70486,24570468.370152853,32550323.46920903,516361.0,0.0,0.0,0.0,24570468.370152853,32550323.46920903,0.5,rhinoct,0.5,rhinoct,0.5,12285234.185076427,16275161.734604515,3989927.5495280884,0.0,False
70487,1458969.680002058,1955162.659997724,32374.0,0.0,0.0,0.0,1458969.680002058,1955162.659997724,0.5,rhinoct,0.5,rhinoct,0.5,729484.840001029,977581.329998862,248096.48999783304,0.0,False
70488,274342.85999410204,361474.789994134,3750.0,0.0,0.0,0.0,274342.85999410204,361474.789994134,0.5,rhinoct,0.5,rhinoct,0.5,137171.42999705102,180737.394997067,43565.965000015975,0.0,False
70498,49509218.63032726,63925902.0597625,749918.0,0.0,0.0,0.0,49509218.63032726,63925902.0597625,0.55,ctdsync,0.55,ctdsync,0.55,27230070.246679995,35159246.13286938,7929175.8861893825,0.0,False
70547,4621259.430072079,5898948.74003836,61552.0,0.0,0.0,0.0,4621259.430072079,5898948.74003836,0.55,ctdsync,0.55,ctdsync,0.55,2541692.686539644,3244421.807021098,702729.1204814543,0.0,False
70548,824272.949994011,1062870.2900048739,11599.0,0.0,0.0,0.0,824272.949994011,1062870.2900048739,0.55,ctdsync,0.55,ctdsync,0.55,453350.1224967061,584578.6595026806,131228.53700597456,0.0,False
70549,4853323.01001158,6212311.36004631,41740.0,0.0,0.0,0.0,4853323.01001158,6212311.36004631,0.55,ctdsync,0.55,ctdsync,0.55,2669327.655506369,3416771.248025471,747443.5925191017,0.0,False
70551,83120881.03878658,109431833.9713638,1124148.0,0.0,0.0,0.0,83120881.03878658,109431833.9713638,0.6,sync,0.6,sync,0.6,49872528.62327194,65659100.382818274,15786571.759546332,0.0,False
70552,1576740.420002717,2030567.0600106982,18188.0,0.0,0.0,0.0,1576740.420002717,2030567.0600106982,0.6,sync,0.6,sync,0.6,946044.2520016301,1218340.236006419,272295.9840047888,0.0,False
70553,127000756.32868977,165264874.26662523,1030414.0,0.0,0.0,0.0,127000756.32868977,165264874.26662523,0.6,sync,0.6,sync,0.6,76200453.79721385,99158924.55997513,22958470.76276128,0.0,False
71010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,preopx,0.6,preopx,0.6,0.0,0.0,0.0,0.0,False
71015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,preopx,0.6,preopx,0.6,0.0,0.0,0.0,0.0,False
71020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,preopx,0.6,preopx,0.6,0.0,0.0,0.0,0.0,False
71021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,preopx,0.6,preopx,0.6,0.0,0.0,0.0,0.0,False
