hcpcs_cd,phys_paid,phys_alowd,phys_srvcs,hopd_paid,hopd_alowd,hopd_srvcs,combined_paid,combined_alowd,low_value_share_pass1,primary_measure,max_share_v2,primary_measure_v2,low_value_share_v2,lv_paid_v2,lv_alowd_v2,patient_oop_v2,delta_v_pass1_dedup,share_changed,weighted_commercial_mult,weighted_medicaid_mult,ma_eq,comm_eq,medicaid_eq
70547,4621259.430072079,5898948.74003836,61552.0,0.0,0.0,0.0,4621259.430072079,5898948.74003836,0.55,ctdsync,0.55,ctdsync,0.55,2541692.686539644,3244421.807021098,702729.1204814543,0.0,False,1.691473992693483,0.6501205124242054,2436239.4793321486,2794484.599855674,495721.9655394026
70548,824272.949994011,1062870.2900048739,11599.0,0.0,0.0,0.0,824272.949994011,1062870.2900048739,0.55,ctdsync,0.55,ctdsync,0.55,453350.1224967061,584578.6595026806,131228.53700597456,0.0,False,1.8430222537936574,0.5962145215802799,434540.91528673645,543097.3369389814,81088.17791782046
70549,4853323.01001158,6212311.36004631,41740.0,0.0,0.0,0.0,4853323.01001158,6212311.36004631,0.55,ctdsync,0.55,ctdsync,0.55,2669327.655506369,3416771.248025471,747443.5925191017,0.0,False,1.6899861633286624,0.6531913391427954,2558578.9549055737,2932232.4220775967,523074.5117733311
70551,83120881.03878658,109431833.9713638,1124148.0,0.0,0.0,0.0,83120881.03878658,109431833.9713638,0.6,sync,0.6,sync,0.6,49872528.62327194,65659100.382818274,15786571.759546332,0.0,False,1.7685131721777267,0.6201205371791099,47803349.24422131,57330145.470043644,9278093.772103177
70552,1576740.420002717,2030567.0600106982,18188.0,0.0,0.0,0.0,1576740.420002717,2030567.0600106982,0.6,sync,0.6,sync,0.6,946044.2520016301,1218340.236006419,272295.9840047888,0.0,False,1.8169121154238408,0.5990264608082965,906793.4798441158,1117271.5210727504,170011.6620133706
70553,127000756.32868977,165264874.26662523,1030414.0,0.0,0.0,0.0,127000756.32868977,165264874.26662523,0.6,sync,0.6,sync,0.6,76200453.79721385,99158924.55997513,22958470.76276128,0.0,False,1.704341469028604,0.6450270321292202,73038945.60775499,84416535.68750334,14745405.767914984
71010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,preopx,0.6,preopx,0.6,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
71015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,preopx,0.6,preopx,0.6,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
71020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,preopx,0.6,preopx,0.6,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
71021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,preopx,0.6,preopx,0.6,0.0,0.0,0.0,0.0,False,1.43,0.7,0.0,0.0,0.0
71022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,preopx,0.6,preopx,0.6,0.0,0.0,0.0,0.0,False,1.43,0.7,0.0,0.0,0.0
71023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,preopx,0.6,preopx,0.6,0.0,0.0,0.0,0.0,False,1.43,0.7,0.0,0.0,0.0
71030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,preopx,0.6,preopx,0.6,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
71034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,preopx,0.6,preopx,0.6,0.0,0.0,0.0,0.0,False,1.43,0.7,0.0,0.0,0.0
71035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,preopx,0.6,preopx,0.6,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
72010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,backscan,0.5,backscan,0.5,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
72020,989835.1100012145,1303871.630019847,101545.0,0.0,0.0,0.0,989835.1100012145,1303871.630019847,0.5,backscan,0.5,backscan,0.5,494917.5550006073,651935.8150099235,157018.26000931626,0.0,False,1.6462883818209713,0.6605118619308008,474383.7415484545,529605.0634918818,98069.67472670719
72052,1654179.280009194,2254010.050011766,60903.0,0.0,0.0,0.0,1654179.280009194,2254010.050011766,0.5,backscan,0.5,backscan,0.5,827089.640004597,1127005.025005883,299915.38500128605,0.0,False,1.5262998313402931,0.7142710259555103,792774.2187703638,820551.4057275081,177229.84971697716
72100,29801670.310270667,41047242.670189336,1679681.1,0.0,0.0,0.0,29801670.310270667,41047242.670189336,0.5,backscan,0.5,backscan,0.5,14900835.155135334,20523621.335094668,5622786.179959334,0.0,False,1.5262775626486558,0.7108628442072089,14282609.015720148,14782826.735306084,3177735.017832681
72110,19454029.350277793,26683040.109912977,790496.0,0.0,0.0,0.0,19454029.350277793,26683040.109912977,0.5,backscan,0.5,backscan,0.5,9727014.675138896,13341520.054956488,3614505.379817592,0.0,False,1.500096283466977,0.7242530713217479,9323447.045000156,9484448.066212993,2113446.0759783178
72114,2692712.7299751337,3657186.44000868,90596.0,0.0,0.0,0.0,2692712.7299751337,3657186.44000868,0.5,backscan,0.5,backscan,0.5,1346356.3649875668,1828593.22000434,482236.8550167731,0.0,False,1.5019141166789503,0.723176531534294,1290496.898780636,1314372.5599259995,292095.9978722486
72120,902522.4900037653,1210597.849984712,46315.0,0.0,0.0,0.0,902522.4900037653,1210597.849984712,0.5,backscan,0.5,backscan,0.5,451261.24500188266,605298.924992356,154037.67999047332,0.0,False,1.5146596019675014,0.7179655262216653,432538.7039858472,444279.665529642,97197.00516936617
