HCPCS_CD,mod1,paid,services,hcpcs_total_paid,paid_share
45330,RT,48.11,0.0,2663462.78,1.8062951868995145e-05
45330,SG,44792.84,247.0,2663462.78,0.016817520536179596
45330,UA,0.0,0.0,2663462.78,0.0
45330,X4,62.88,0.0,2663462.78,2.3608364446527015e-05
45330,XE,314.90999999999997,0.0,2663462.78,0.00011823330228778342
45330,XP,148.79000000000002,0.0,2663462.78,5.5863367461812264e-05
45330,XS,8138.17,55.0,2663462.78,0.003055484785111208
45330,XU,3068.68,13.0,2663462.78,0.0011521392463385578
45331,22,1079.86,0.0,4103357.27,0.0002631649961106116
45331,51,176530.67,3096.0,4103357.27,0.043021033359837084
45331,52,24932.83,31.0,4103357.27,0.006076202572533978
45331,53,6737.66,0.0,4103357.27,0.001641987172128446
45331,58,3081.04,0.0,4103357.27,0.0007508583331326643
45331,59,118586.84,556.0,4103357.27,0.028899954889865097
45331,74,28322.96,12.0,4103357.27,0.006902387030023344
45331,76,145.82,0.0,4103357.27,3.553675451711276e-05
45331,78,2049.5,0.0,4103357.27,0.0004994690603677315
45331,79,1807.8899999999999,0.0,4103357.27,0.00044058800661049915
45331,82,0.0,0.0,4103357.27,0.0
45331,95,273.54,0.0,4103357.27,6.666248683727216e-05
45331,AG,676.88,0.0,4103357.27,0.00016495760799302761
45331,AQ,1773.02,0.0,4103357.27,0.0004320900870520592
45331,AS,0.0,0.0,4103357.27,0.0
45331,CC,781.64,0.0,4103357.27,0.0001904879221009191
45331,CR,2071.86,0.0,4103357.27,0.0005049182568497137
45331,GA,5316.34,133.0,4103357.27,0.0012956073893122155
45331,GC,61964.24,541.0,4103357.27,0.015100863981068847
45331,GLOBAL,3248733.08,22596.0,4103357.27,0.7917256203235747
45331,GV,217.24,0.0,4103357.27,5.2942014478792875e-05
45331,GW,1683.44,0.0,4103357.27,0.00041025918272039714
45331,GZ,0.0,0.0,4103357.27,0.0
45331,KX,1347.58,0.0,4103357.27,0.000328409132164112
45331,PD,28.17,0.0,4103357.27,6.865110236915832e-06
45331,PO,62.27,0.0,4103357.27,1.5175378574822466e-05
45331,PT,230368.44,380.0,4103357.27,0.0561414531667139
45331,Q1,2547.01,0.0,4103357.27,0.0006207136820918351
45331,Q6,1192.09,0.0,4103357.27,0.00029051577076056066
45331,RT,61.56,0.0,4103357.27,1.5002349527317664e-05
45331,SA,314.58,0.0,4103357.27,7.666405318881727e-05
45331,SG,149367.67,274.0,4103357.27,0.036401331926917496
45331,UA,0.0,0.0,4103357.27,0.0
45331,X2,80.18,0.0,4103357.27,1.9540097223852022e-05
45331,X4,107.72,0.0,4103357.27,2.6251674643967817e-05
45331,XE,202.57999999999998,0.0,4103357.27,4.9369330202144444e-05
45331,XP,172.3,0.0,4103357.27,4.199000688039041e-05
45331,XS,26663.65,55.0,4103357.27,0.006498008397889273
45331,XU,4075.12,0.0,4103357.27,0.0009931184958700903
45332,22,295.25,0.0,25821.64,0.011434207896942255
45332,51,1800.9,0.0,25821.64,0.06974382727045998
