hcpcs_cd,max_share,max_share_measure,n_measures,phys_paid,phys_alowd,phys_srvcs,hopd_paid,hopd_alowd,hopd_srvcs,combined_paid,combined_alowd,lv_paid,lv_alowd,patient_oop
45343,0.15,colon,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45344,0.15,colon,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45345,0.15,colon,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45378,0.15,colon,2,58925314.79974557,76658141.86936966,322517.0,0.0,0.0,0.0,58925314.79974557,76658141.86936966,8838797.219961835,11498721.280405449,2659924.0604436137
45379,0.15,colon,2,151626.52000206,190546.39000463,1020.0,0.0,0.0,0.0,151626.52000206,190546.39000463,22743.978000308998,28581.958500694498,5837.9805003855
45380,0.15,colon,2,253961581.4231959,312111886.13479656,1337772.0,0.0,0.0,0.0,253961581.4231959,312111886.13479656,38094237.213479385,46816782.92021948,8722545.706740096
45381,0.15,colon,2,7507827.910037382,9137332.58018082,85316.0,0.0,0.0,0.0,7507827.910037382,9137332.58018082,1126174.186505607,1370599.887027123,244425.70052151592
45382,0.15,colon,2,4973932.02989988,6263136.119995541,22914.0,0.0,0.0,0.0,4973932.02989988,6263136.119995541,746089.804484982,939470.4179993311,193380.6135143491
45383,0.15,colon,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45384,0.15,colon,2,11510464.969828509,14211069.38985597,54350.0,0.0,0.0,0.0,11510464.969828509,14211069.38985597,1726569.7454742764,2131660.4084783955,405090.6630041192
45385,0.15,colon,2,434171231.70172477,528191609.7944539,1522156.0,0.0,0.0,0.0,434171231.70172477,528191609.7944539,65125684.75525871,79228741.46916808,14103056.713909373
45386,0.15,colon,2,424969.24000202003,541409.83999558,2234.0,0.0,0.0,0.0,424969.24000202003,541409.83999558,63745.386000303,81211.475999337,17466.089999033997
45387,0.15,colon,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45388,0.15,colon,2,8148584.59989395,10062978.14005545,22960.0,0.0,0.0,0.0,8148584.59989395,10062978.14005545,1222287.6899840925,1509446.7210083173,287159.0310242248
45389,0.15,colon,2,94425.73000168,119827.47000056,392.0,319583.4799999995,401339.16999999975,75.0,414009.2100016795,521166.64000055974,62101.38150025192,78174.99600008396,16073.614499832045
45390,0.15,colon,2,13183088.570093058,16180495.830066621,33328.0,34484451.58999989,42321632.0899998,16298.0,47667540.16009295,58502127.92006642,7150131.024013942,8775319.188009962,1625188.1639960203
45391,0.15,colon,2,125109.29000059,160074.42000053,707.0,0.0,0.0,0.0,125109.29000059,160074.42000053,18766.3935000885,24011.163000079498,5244.769499990998
45392,0.15,colon,2,34675.82999978,43882.1199995,146.0,0.0,0.0,0.0,34675.82999978,43882.1199995,5201.374499967,6582.317999925,1380.9434999579998
62311,0.35,spinj,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64475,0.35,spinj,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64483,0.35,spinj,1,178739656.00183094,229631698.34135145,903960.0,0.0,0.0,0.0,178739656.00183094,229631698.34135145,62558879.600640826,80371094.419473,17812214.81883218
64493,0.35,spinj,1,113123021.8486673,144863056.33913794,625203.0,0.0,0.0,0.0,113123021.8486673,144863056.33913794,39593057.64703355,50702069.71869828,11109012.071664728
70450,0.6,sync,2,156288521.42905042,207182606.56303713,4973151.7,0.0,0.0,0.0,156288521.42905042,207182606.56303713,93773112.85743025,124309563.93782227,30536451.080392018
70460,0.6,sync,2,972651.150009095,1272623.429991689,19477.0,0.0,0.0,0.0,972651.150009095,1272623.429991689,583590.6900054569,763574.0579950134,179983.36798955651
70470,0.6,sync,2,3912976.270004907,5162262.450026078,62791.0,0.0,0.0,0.0,3912976.270004907,5162262.450026078,2347785.762002944,3097357.470015647,749571.7080127029
70486,0.5,rhinoct,1,24570468.370152853,32550323.46920903,516361.0,0.0,0.0,0.0,24570468.370152853,32550323.46920903,12285234.185076427,16275161.734604515,3989927.5495280884
70487,0.5,rhinoct,1,1458969.680002058,1955162.659997724,32374.0,0.0,0.0,0.0,1458969.680002058,1955162.659997724,729484.840001029,977581.329998862,248096.48999783304
70488,0.5,rhinoct,1,274342.85999410204,361474.789994134,3750.0,0.0,0.0,0.0,274342.85999410204,361474.789994134,137171.42999705102,180737.394997067,43565.965000015975
70498,0.55,ctdsync,2,49509218.63032726,63925902.0597625,749918.0,0.0,0.0,0.0,49509218.63032726,63925902.0597625,27230070.246679995,35159246.13286938,7929175.8861893825
70547,0.55,ctdsync,2,4621259.430072079,5898948.74003836,61552.0,0.0,0.0,0.0,4621259.430072079,5898948.74003836,2541692.686539644,3244421.807021098,702729.1204814543
70548,0.55,ctdsync,2,824272.949994011,1062870.2900048739,11599.0,0.0,0.0,0.0,824272.949994011,1062870.2900048739,453350.1224967061,584578.6595026806,131228.53700597456
70549,0.55,ctdsync,2,4853323.01001158,6212311.36004631,41740.0,0.0,0.0,0.0,4853323.01001158,6212311.36004631,2669327.655506369,3416771.248025471,747443.5925191017
70551,0.6,sync,2,83120881.03878658,109431833.9713638,1124148.0,0.0,0.0,0.0,83120881.03878658,109431833.9713638,49872528.62327194,65659100.382818274,15786571.759546332
