HCPCS_CD,pos_group,paid,services,hcpcs_total_paid,paid_share
45385,esrd,0.0,0.0,432907658.56,0.0
45385,fqhc,609.96,0.0,432907658.56,1.408984082261185e-06
45385,home,0.0,0.0,432907658.56,0.0
45385,hopd_on_campus,83765922.37,430988.0,432907658.56,0.1934960509791726
45385,indep_clinic,9631.02,19.0,432907658.56,2.224728486448147e-05
45385,inp_psy,210.77,0.0,432907658.56,4.868705735100498e-07
45385,inpatient,5763198.15,29109.0,432907658.56,0.013312765519488342
45385,office,13233882.76,35968.0,432907658.56,0.030569758927389855
45385,other,6424173.66,31071.0,432907658.56,0.014839593462885398
45385,rehab_inp,0.0,0.0,432907658.56,0.0
45385,snf,395.78,0.0,432907658.56,9.142365402277719e-07
45386,asc,228848.12,108.0,424621.42,0.5389462453401432
45386,hopd_on_campus,146902.73,391.0,424621.42,0.3459616568565948
45386,inpatient,27612.260000000002,0.0,424621.42,0.06502794889621914
45386,office,14718.65,14.0,424621.42,0.034662994627072743
45386,other,6539.66,0.0,424621.42,0.015401154279970145
45387,asc,0.0,0.0,0.0,
45387,office,0.0,0.0,0.0,
45388,asc,3633307.47,10364.0,8123463.6899999995,0.44726087401272063
45388,er,470.55,0.0,8123463.6899999995,5.792479882433007e-05
45388,hopd_on_campus,1584703.21,6125.0,8123463.6899999995,0.19507728112957196
45388,indep_clinic,2204.06,0.0,8123463.6899999995,0.0002713202254739197
45388,inpatient,431506.1,1508.0,8123463.6899999995,0.05311848694925354
45388,office,2437998.32,982.0,8123463.6899999995,0.30011807931156026
45388,other,33273.98,14.0,8123463.6899999995,0.004096033572595436
45389,asc,10228.119999999999,0.0,94174.72,0.10860791516024682
45389,hopd_on_campus,20771.05,0.0,94174.72,0.220558659478892
45389,inpatient,63175.55,37.0,94174.72,0.6708334253608612
45390,asc,7668264.83,9872.0,13141394.76,0.5835198599573916
45390,er,517.8199999999999,0.0,13141394.76,3.9403732210841826e-05
45390,hopd_on_campus,4938140.03,15709.0,13141394.76,0.37576985701934734
45390,inpatient,282056.44,301.0,13141394.76,0.021463204260367262
45390,office,19675.43,107.0,13141394.76,0.0014972101789292875
45390,other,232485.52,331.0,13141394.76,0.017691084108335545
45390,snf,254.69,0.0,13141394.76,1.9380743418136235e-05
45391,asc,9635.92,0.0,125855.88,0.07656312919189791
45391,hopd_on_campus,110479.89,238.0,125855.88,0.8778285925139135
45391,inpatient,4375.22,0.0,125855.88,0.0347637313409592
45391,office,257.25,0.0,125855.88,0.0020440046186161504
45391,other,1107.6,0.0,125855.88,0.008800542334613208
45392,asc,1899.79,0.0,34796.6,0.05459700085640551
45392,er,256.53,0.0,34796.6,0.007372272003586556
45392,hopd_on_campus,25297.59,0.0,34796.6,0.7270132714115747
45392,inpatient,6664.59,0.0,34796.6,0.191529919589845
45392,office,678.0999999999999,0.0,34796.6,0.01948753613858825
62311,asc,0.0,0.0,0.0,
62311,office,0.0,0.0,0.0,
64483,asc,99470883.25,483101.0,178496717.85,0.5572700968854257
64483,er,5803.94,17.0,178496717.85,3.251566790643932e-05
64483,fqhc,0.0,0.0,178496717.85,0.0
64483,group_home,367.28,0.0,178496717.85,2.057628870849291e-06
64483,home,596.61,0.0,178496717.85,3.342414399470147e-06
64483,hopd_on_campus,11534073.34,121322.0,178496717.85,0.0646178455207937
64483,indep_clinic,839.66,0.0,178496717.85,4.704064086520681e-06
64483,indep_lab,0.0,0.0,178496717.85,0.0
64483,inpatient,162277.34,489.0,178496717.85,0.0009091334672964128
64483,office,65087780.8,305766.0,178496717.85,0.3646441323066602
64483,other,2231475.5,22643.0,178496717.85,0.012501493175214706
64483,rehab_inp,2529.05,14.0,178496717.85,1.4168607862724352e-05
64483,rural_hc,0.0,0.0,178496717.85,0.0
64483,snf,91.08,0.0,178496717.85,5.1026148321976e-07
64493,asc,64807937.75,323271.0,112934980.45,0.5738517640129454
64493,er,1203.05,0.0,112934980.45,1.0652589615780112e-05
64493,fqhc,0.0,0.0,112934980.45,0.0
64493,group_home,477.19,0.0,112934980.45,4.2253515969860865e-06
64493,home,800.86,0.0,112934980.45,7.09133695165925e-06
64493,hopd_on_campus,7053273.5,77589.0,112934980.45,0.062454285394087566
64493,indep_clinic,316.36,0.0,112934980.45,2.801257845349899e-06
64493,inpatient,45351.11,181.0,112934980.45,0.0004015683167367122
64493,office,39508529.6,221207.0,112934980.45,0.3498342979524552
64493,other,1515833.33,15345.0,112934980.45,0.013422177291393864
64493,rehab_inp,469.59999999999997,0.0,112934980.45,4.158144784980125e-06
64493,snf,788.0999999999999,0.0,112934980.45,6.978351586547779e-06
70450,alf,82.73,0.0,156054844.65,5.301341344803934e-07
70450,asc,1804.72,0.0,156054844.65,1.1564652183965376e-05
70450,er,91159083.57000001,3318170.0,156054844.65,0.5841477320005778
70450,esrd,0.0,0.0,156054844.65,0.0
70450,fqhc,998.25,22.0,156054844.65,6.396789553306572e-06
70450,home,123.21,0.0,156054844.65,7.895301185704009e-07
70450,hopd_on_campus,13541163.55,473286.0,156054844.65,0.08677182422865588
70450,indep_clinic,488042.54,8508.0,156054844.65,0.003127378333524873
70450,indep_lab,8151.799999999999,176.0,156054844.65,5.22367634166236e-05
70450,inp_psy,2939.39,38.0,156054844.65,1.8835621582863815e-05
70450,inpatient,37692813.48,1295885.0,156054844.65,0.24153568294875744
70450,nf,2399.64,43.0,156054844.65,1.537690166160439e-05
70450,office,11479120.85,180804.0,156054844.65,0.07355824726714115
70450,other,1661324.83,51574.0,156054844.65,0.010645775424185142
70450,rehab_inp,3239.53,45.0,156054844.65,2.075891977122288e-05
70450,rehab_outp,238.08,0.0,156054844.65,1.5256174874542736e-06
70450,rural_hc,234.37,0.0,156054844.65,1.501843794248396e-06
70450,snf,13084.11,220.0,156054844.65,8.384302345335742e-05
70460,asc,42.12,0.0,971138.43,4.337177759508497e-05
70460,er,113272.69,1670.0,971138.43,0.11663907688217014
70460,hopd_on_campus,270355.4,5438.0,971138.43,0.27839017759805884
70460,indep_clinic,12840.87,14.0,971138.43,0.013222491874819536
70460,indep_lab,530.27,0.0,971138.43,0.0005460292617603445
70460,inpatient,175033.46,2891.0,971138.43,0.18023533472977687
70460,nf,41.65,0.0,971138.43,4.288780951650734e-05
70460,office,353383.81,2378.0,971138.43,0.36388613516200774
70460,other,45562.31,498.0,971138.43,0.046916390694167046
70460,rehab_inp,40.51,0.0,971138.43,4.1713929496127546e-05
70460,snf,35.34,0.0,971138.43,3.639028063177358e-05
70470,asc,51.71,0.0,3903215.47,1.3248051612175025e-05
70470,er,283673.28,5168.0,3903215.47,0.07267681791597326
70470,hopd_on_campus,1080437.55,22605.0,3903215.47,0.27680704749820023
70470,indep_clinic,94363.19,651.0,3903215.47,0.02417575732758612
70470,indep_lab,1589.81,16.0,3903215.47,0.00040730777283991444
70470,inp_psy,49.86,0.0,3903215.47,1.2774083414872301e-05
70470,inpatient,475503.63,9053.0,3903215.47,0.12182356666054103
70470,office,1805615.4,13961.0,3903215.47,0.4625969060324512
70470,other,161554.69,2539.0,3903215.47,0.041390154154108225
70470,rehab_inp,49.77,0.0,3903215.47,1.2751025502571089e-05
70470,rural_hc,46.84,0.0,3903215.47,1.2000362357653804e-05
70470,snf,279.74,0.0,3903215.47,7.166911541268307e-05
70486,asc,175.72,0.0,24512830.07,7.168490928962736e-06
70486,er,6550690.04,234212.0,24512830.07,0.26723515894711214
70486,fqhc,131.62,0.0,24512830.07,5.369433052982446e-06
70486,home,101.43,0.0,24512830.07,4.137833114754669e-06
70486,hopd_on_campus,2526788.9,86224.0,24512830.07,0.10308026012436677
70486,indep_clinic,313637.23,3856.0,24512830.07,0.012794819247894374
70486,indep_lab,9092.11,112.0,24512830.07,0.0003709122926253778
70486,inp_psy,65.6,0.0,24512830.07,2.6761495842246496e-06
70486,inpatient,1011387.53,32948.0,24512830.07,0.04125951704115085
70486,nf,94.44,0.0,24512830.07,3.852676322167316e-06
70486,office,13560056.9,167406.0,24512830.07,0.5531820218749633
70486,other,540363.94,15420.0,24512830.07,0.022044127032941976
70486,rehab_inp,0.0,0.0,24512830.07,0.0
70486,rural_hc,29.19,0.0,24512830.07,1.190804975053621e-06
70486,snf,215.42000000000002,0.0,24512830.07,8.78805096697674e-06
70487,er,568923.45,13902.0,1457924.02,0.3902284633461214
70487,fqhc,0.0,0.0,1457924.02,0.0
70487,hopd_on_campus,268840.04,5522.0,1457924.02,0.184399211695545
70487,indep_clinic,12440.23,13.0,1457924.02,0.00853283835737887
70487,inpatient,269081.51,5641.0,1457924.02,0.1845648376106733
70487,office,282890.15,1452.0,1457924.02,0.1940362776929898
70487,other,55661.62,672.0,1457924.02,0.038178683687507944
70487,rural_hc,0.0,0.0,1457924.02,0.0
70487,snf,87.02000000000001,0.0,1457924.02,5.968760978367035e-05
70488,er,20922.77,55.0,273518.67,0.0764948513386673
70488,hopd_on_campus,53673.99,518.0,273518.67,0.19623519666865885
70488,indep_clinic,7695.88,0.0,273518.67,0.02813658021955138
70488,inpatient,23454.31,63.0,273518.67,0.0857503072824974
70488,office,160330.46,554.0,273518.67,0.586177389645833
70488,other,7441.26,12.0,273518.67,0.027205674844792135
70498,asc,859.63,0.0,49414235.17,1.7396404033020268e-05
70498,er,24131639.86,412503.0,49414235.17,0.48835400926433076
70498,fqhc,195.14,0.0,49414235.17,3.9490644614585055e-06
70498,hopd_on_campus,7139069.21,116335.0,49414235.17,0.14447393924927565
70498,indep_clinic,218497.12,1241.0,49414235.17,0.00442174444769414
70498,inp_psy,127.94,0.0,49414235.17,2.5891324546428265e-06
70498,inpatient,12073848.76,200694.0,49414235.17,0.24433948473475886
