hcpcs,category,OPPS_rate,PFS_office_rate,HOPD_prof_fee,HOPD_total,differential,HOPD_volume,eligible,eligibility_share,savings,description,booked
70542,imaging,357.13,262.98,73.75,430.88,167.9,447,1,1.0,75052.62982499998,Mri orbit/face/neck w/dye,False
78601,imaging,401.83,190.52,22.64,424.47,233.95,311,1,1.0,72758.96781499998,Brain image w/flow < 4 views,False
76513,imaging,106.34,72.13,31.05,137.39,65.26,1106,1,1.0,72177.49917,Oph us dx ant sgm us uni/bi,False
76982,imaging,106.34,89.6,27.17,133.51,43.91,1536,1,1.0,67447.68767999997,Use 1st target lesion,False
70482,imaging,178.02,206.69,57.58,235.6,28.9,2187,1,1.0,63210.062744999945,Ct orbit/ear/fossa w/o&w/dye,False
71551,imaging,790.06,367.13,78.6,868.66,501.53,126,1,1.0,63192.68171999999,Mri chest w/dye,False
78494,imaging,401.83,202.81,53.05,454.88,252.07,243,1,1.0,61251.966315,Heart image spect,False
73580,imaging,357.13,104.48,29.44,386.57,282.09,209,1,1.0,58955.99908000001,Contrast x-ray of knee joint,False
78579,imaging,401.83,163.67,21.67,423.5,259.83,217,1,1.0,56382.86370499999,Lung ventilation imaging,False
78121,imaging,538.27,91.54,14.23,552.5,460.96,122,1,1.0,56237.34752999999,Red cell mass multiple,False
76883,imaging,106.34,70.19,55.64,161.98,91.78,606,1,1.0,55621.149450000004,Us nrv&acc strux 1xtr compre,False
72127,imaging,178.02,193.43,57.58,235.6,42.16,1318,1,1.0,55573.07459999998,Ct neck spine w/o & w/dye,False
78483,imaging,538.27,211.22,65.34,603.61,392.39,141,1,1.0,55326.60718499999,Heart first pass multiple,False
78202,imaging,538.27,188.58,22.97,561.24,372.66,145,1,1.0,54035.10839999999,Liver imaging with vasc flow,False
70330,imaging,88.05,51.43,11.0,99.05,47.62,1086,1,1.0,51711.92625,X-ray exam of jaw joints,False
73050,imaging,88.05,28.14,8.73,96.78,68.64,748,1,1.0,51344.29079999999,X-ray exam of shoulders,False
70336,imaging,241.72,257.8,66.96,308.68,50.88,980,1,1.0,49858.13700000006,Magnetic image jaw joint,False
78606,imaging,538.27,286.27,28.79,567.06,280.79,171,1,1.0,48015.40805999998,Brain image w/flow 4 + views,False
76978,imaging,178.02,188.26,73.75,251.77,63.51,739,1,1.0,46936.39520999999,Us trgt dyn mbubb 1st les,False
78700,imaging,401.83,152.03,20.05,421.88,269.86,172,1,1.0,46415.280159999995,Kidney imaging morphol,False
72130,imaging,178.02,195.7,57.9,235.92,40.22,1147,1,1.0,46136.824769999985,Ct chest spine w/o & w/dye,False
78428,imaging,401.83,165.61,34.61,436.44,270.83,160,1,1.0,43332.268,Cardiac shunt imaging,False
78457,imaging,538.27,151.38,34.61,572.88,421.5,97,1,1.0,40885.416095,Venous thrombosis imaging,False
73115,imaging,357.13,127.12,26.2,383.33,256.21,159,1,1.0,40737.21828000001,Contrast x-ray of wrist,False
78466,imaging,401.83,154.94,30.41,432.24,277.3,145,1,1.0,40207.916375,Heart infarct image,False
78473,imaging,401.83,254.57,65.66,467.49,212.93,177,1,1.0,37687.97988,Gated heart multiple,False
78290,imaging,401.83,286.27,30.41,432.24,145.97,256,1,1.0,37368.111359999995,Meckels divert exam,False
71130,imaging,88.05,39.79,10.03,98.08,58.29,617,1,1.0,35965.682740000004,X-ray strenoclavic jt 3/>vws,False
78725,imaging,401.83,94.45,16.17,418.0,323.55,111,1,1.0,35914.21317,Kidney function study,False
78266,imaging,538.27,384.92,46.58,584.85,199.93,170,1,1.0,33987.353700000014,Gastric emptying imag study,False
76818,imaging,106.34,115.15,47.87,154.21,39.06,864,1,1.0,33747.21792000001,Fetal biophys profile w/nst,False
77086,imaging,88.05,33.32,7.76,95.81,62.5,515,1,1.0,32185.576474999998,Vrt fracture assmt via dxa,False
76831,imaging,241.72,110.63,32.99,274.71,164.09,195,1,1.0,31997.23800000001,Echo exam uterus,False
76100,imaging,106.34,85.39,26.52,132.86,47.47,647,1,1.0,30712.682389999998,X-ray exam of body section,False
70371,imaging,241.72,108.36,40.43,282.15,173.79,175,1,1.0,30413.66125,Speech evaluation complex,False
78258,imaging,401.83,190.52,32.02,433.85,243.33,109,1,1.0,26523.204349999996,Esophageal motility,False
74740,imaging,241.72,87.66,17.47,259.19,171.53,149,1,1.0,25557.686155000007,X-ray female genital tract,False
78481,imaging,538.27,156.23,43.34,581.61,425.38,60,1,1.0,25522.842899999996,Heart first pass single,False
76380,imaging,88.05,128.74,43.34,131.39,2.66,9367,1,1.0,24871.633079999927,Cat scan follow-up study,False
76516,imaging,106.34,45.29,21.67,128.01,82.73,292,1,1.0,24156.30006,Echo exam of eye,False
78104,imaging,401.83,218.02,34.93,436.76,218.75,110,1,1.0,24062.369099999996,Bone marrow imaging body,False
76805,imaging,106.34,130.03,45.61,151.95,21.92,1093,1,1.0,23953.78905500001,Ob us >= 14 wks sngl fetus,False
78650,imaging,1305.48,235.16,23.29,1328.77,1093.61,21,1,1.0,22965.818924999996,Csf leakage imaging,False
