hsa,year,n_hospitals,hhi_pre,hhi_post,hhi_shift,concentrated_pre,concentrated_post
26013,2020,5,3715.100705577814,7340.292074449037,3625.1913688712225,True,True
26021,2020,18,1152.054340289001,1864.8453932353384,712.7910529463375,False,False
26021,2021,18,1152.054340289001,1864.8453932353384,712.7910529463375,False,False
26021,2024,18,1152.054340289001,1864.8453932353384,712.7910529463375,False,False
26041,2021,42,498.03968682495747,665.7611311797821,167.7214443548246,False,False
26082,2020,66,382.9568219210974,540.4820080189581,157.52518609786074,False,False
26082,2022,67,382.90993853261597,540.4158242125575,157.5058856799415,False,False
26084,2023,2,5132.504056246621,10000.0,4867.495943753379,True,True
26091,2021,2,6875.187789195361,10000.0,3124.812210804639,True,True
27022,2021,10,3716.618075801749,6634.0691378592255,2917.4510620574765,True,True
28042,2021,4,4371.668133119403,7275.244552559391,2903.576419439988,True,True
28063,2020,2,5162.590701424348,10000.0,4837.409298575652,True,True
29008,2020,2,5073.959094229365,10000.0,4926.040905770635,True,True
29010,2019,52,440.19721674629955,599.4674897256842,159.27027297938469,False,False
29010,2025,57,427.89248425947835,587.2952078777647,159.40272361828636,False,False
29013,2020,24,1411.8250514935116,2454.5016046709065,1042.676553177395,False,False
29013,2021,24,1458.4599456353242,2541.1077158208395,1082.6477701855154,False,True
30005,2025,2,5080.522559200185,10000.0,4919.477440799815,True,True
30015,2025,5,2781.2226113445704,5155.9899787151,2374.7673673705294,True,True
3016,2019,24,855.6854757146307,1328.1558195493078,472.4703438346771,False,False
3016,2025,30,728.6934237366852,1102.1965174799204,373.50309374323524,False,False
3022,2019,54,391.53486995037565,521.8743543739253,130.3394844235496,False,False
3022,2024,62,380.9178283853165,508.78002750468215,127.86219911936564,False,False
3023,2022,8,2377.7705423535663,4015.317286652078,1637.5467442985118,False,True
3032,2019,41,589.9574687155648,853.087098627096,263.1296299115312,False,False
31005,2020,8,2621.0444678913145,4621.69376583791,2000.6492979465957,True,True
31034,2020,5,3970.063688330832,7608.823303777494,3638.7596154466623,True,True
