ccn,hsanum,hrrnum,STATE_CD,ctrl_type,net_patient_revenue,commercial_share,commercial_revenue_bil,spend_at_risk_bil,fy
031309,3010,293,AZ,2,39982721.0,0.4,0.01710024631272326,0.01710024631272326,2023
031311,3035,12,AZ,2,38739689.0,0.4,0.016568612825982904,0.016568612825982904,2023
031312,3002,15,AZ,2,75007016.0,0.4,0.032079818899328406,0.032079818899328406,2023
031313,3032,15,AZ,4,37110873.0,0.4,0.015871983029373895,0.015871983029373895,2023
031314,3047,12,AZ,2,83387274.0,0.4,0.03566397906602065,0.03566397906602065,2023
031315,3028,12,AZ,11,24506218.0,0.4,0.010481086667245395,0.010481086667245395,2023
031317,3020,12,AZ,2,36889862.0,0.4,0.015777458633752565,0.015777458633752565,2023
031318,3021,12,AZ,2,54702388.0,0.4,0.02339571408094405,0.02339571408094405,2023
031319,3024,15,AZ,2,86759643.0,0.4,0.0371063106311333,0.0371063106311333,2023
031320,3042,12,AZ,7,0.0,0.4,0.0,0.0,2023
032001,3022,12,AZ,4,28450425.0,0.4,0.012167988146721173,0.012167988146721173,2023
032002,3032,15,AZ,4,24123275.0,0.4,0.010317305427250918,0.010317305427250918,2023
032004,3032,15,AZ,4,8287855.0,0.4,0.0035446402435725935,0.0035446402435725935,2023
032005,3022,12,AZ,4,19511384.0,0.4,0.008344841570490605,0.008344841570490605,2023
032006,3016,11,AZ,4,10692023.0,0.4,0.004572881042320814,0.004572881042320814,2023
033025,3025,12,AZ,4,22245932.0,0.4,0.009514382891952063,0.009514382891952063,2023
033028,3032,15,AZ,4,32372197.0,0.4,0.013845294380640104,0.013845294380640104,2023
033029,3032,15,AZ,4,21346052.0,0.4,0.009129512396222334,0.009129512396222334,2023
033032,3022,12,AZ,4,25597268.0,0.4,0.010947718834163117,0.010947718834163117,2023
033034,3037,12,AZ,5,31607898.0,0.4,0.013518410646124685,0.013518410646124685,2023
033036,3023,12,AZ,4,26143302.0,0.4,0.011181252612294964,0.011181252612294964,2023
033037,3016,11,AZ,4,34035265.0,0.4,0.014556573446284686,0.014556573446284686,2023
033038,3025,12,AZ,4,29273520.0,0.4,0.01252001839595736,0.01252001839595736,2023
033039,3029,14,AZ,4,20375247.0,0.4,0.008714307922729314,0.008714307922729314,2023
033040,3005,11,AZ,5,31451756.0,0.4,0.013451630132118116,0.013451630132118116,2023
033041,3008,12,AZ,4,20418958.0,0.4,0.008733002720078785,0.008733002720078785,2023
033042,3029,14,AZ,4,103224077.0,0.4,0.04414799938462198,0.04414799938462198,2023
033043,3022,12,AZ,6,14369626.0,0.4,0.006145758414533927,0.006145758414533927,2023
033044,3016,11,AZ,5,13344106.0,0.4,0.005707152832922211,0.005707152832922211,2023
033045,3029,14,AZ,6,16474288.0,0.4,0.0070459032197118625,0.0070459032197118625,2023
033046,3022,12,AZ,5,4659456.0,0.4,0.001992806974875379,0.001992806974875379,2023
033302,3022,12,AZ,2,1372554647.0,0.4,0.5870291454494287,0.5870291454494287,2023
034004,3025,12,AZ,2,47591355.0,0.4,0.02035438990898728,0.02035438990898728,2023
034013,3022,12,AZ,6,34672335.0,0.4,0.014829042494062765,0.014829042494062765,2023
034020,3022,12,AZ,4,16537783.0,0.4,0.007073059454016835,0.007073059454016835,2023
034021,3022,12,AZ,10,0.0,0.4,0.0,0.0,2023
034022,3032,15,AZ,4,49234700.0,0.4,0.021057233626821846,0.021057233626821846,2023
034023,3008,12,AZ,2,20042461.0,0.4,0.008571978375687583,0.008571978375687583,2023
034024,3022,12,AZ,4,32020078.0,0.4,0.0136946962852431,0.0136946962852431,2023
034025,3023,12,AZ,4,15098298.0,0.4,0.006457404805013071,0.006457404805013071,2023
034026,3022,12,AZ,4,37857643.0,0.4,0.01619136976993496,0.01619136976993496,2023
034028,3016,11,AZ,4,38868308.0,0.4,0.016623622003084586,0.016623622003084586,2023
034029,3005,11,AZ,4,46368921.0,0.4,0.019831565999602837,0.019831565999602837,2023
034030,3032,15,AZ,4,25277079.0,0.4,0.0108107769095096,0.0108107769095096,2023
034031,3022,12,AZ,4,24896587.0,0.4,0.010648043939934551,0.010648043939934551,2023
034032,3022,12,AZ,4,50415905.0,0.4,0.021562424267694443,0.021562424267694443,2023
034033,3032,15,AZ,4,20597148.0,0.4,0.008809212963260187,0.008809212963260187,2023
034034,3029,14,AZ,4,25397493.0,0.4,0.010862276882698026,0.010862276882698026,2023
034035,3029,14,AZ,4,5503732.0,0.4,0.002353896145267778,0.002353896145267778,2023
034037,3003,279,AZ,4,3152893.0,0.4,0.0013484636750375491,0.0013484636750375491,2023
034038,3022,12,AZ,5,14310424.0,0.4,0.006120438257303861,0.006120438257303861,2023
034039,3022,12,AZ,4,0.0,0.4,0.0,0.0,2023
034040,3025,12,AZ,4,14823316.0,0.4,0.006339797503309786,0.006339797503309786,2023
040001,4067,21,AR,4,86985663.0,0.4,0.03720297733052081,0.03720297733052081,2023
040002,4013,19,AR,2,33074683.0,0.4,0.014145741256960494,0.014145741256960494,2023
040004,4026,21,AR,2,391093311.0,0.4,0.16726705391957897,0.16726705391957897,2023
040007,4041,19,AR,1,432841841.0,0.4,0.1851225206896899,0.1851225206896899,2023
040010,4063,21,AR,1,401360122.0,0.4,0.17165807565484748,0.17165807565484748,2023
040011,4018,19,AR,2,22633001.0,0.4,0.009679928784639543,0.009679928784639543,2023
040014,4066,19,AR,2,272249366.0,0.4,0.1164385789822245,0.1164385789822245,2023
040015,4046,16,AR,12,28688165.0,0.4,0.012269667383569181,0.012269667383569181,2023
040016,4041,19,AR,10,996643483.0,0.4,0.42625535778994184,0.42625535778994184,2023
040017,4031,21,AR,2,93159633.0,0.4,0.039843528175656236,0.039843528175656236,2023
040018,4029,16,AR,2,10700247.0,0.4,0.004576398372361354,0.004576398372361354,2023
040019,4028,379,AR,6,34206750.0,0.4,0.014629916021917228,0.014629916021917228,2023
040020,4039,18,AR,1,458763603.0,0.4,0.19620902265787235,0.19620902265787235,2023
040022,4068,21,AR,4,300526801.0,0.4,0.12853258087849417,0.12853258087849417,2023
040026,4035,19,AR,1,276802236.0,0.4,0.11838580009380938,0.11838580009380938,2023
040027,4049,270,AR,2,277480129.0,0.4,0.11867572876759001,0.11867572876759001,2023
040029,4015,19,AR,2,233629197.0,0.4,0.09992108377375684,0.09992108377375684,2023
040036,4054,19,AR,2,297482238.0,0.4,0.12723044895969346,0.12723044895969346,2023
040039,4057,18,AR,1,67175239.0,0.4,0.028730239070423793,0.028730239070423793,2023
040041,4064,19,AR,4,95882689.0,0.4,0.04100815447318459,0.04100815447318459,2023
040047,4061,18,AR,10,14354784.0,0.4,0.006139410626053662,0.006139410626053662,2023
040050,4011,19,AR,2,29447997.0,0.4,0.012594640622791423,0.012594640622791423,2023
040051,4047,19,AR,2,22136545.0,0.4,0.009467599066423783,0.009467599066423783,2023
040055,4029,16,AR,2,303560765.0,0.4,0.12983017970134406,0.12983017970134406,2023
040062,4029,16,AR,1,495308005.0,0.4,0.21183873118999494,0.21183873118999494,2023
040067,4042,19,AR,2,23403264.0,0.4,0.010009363267739808,0.010009363267739808,2023
040069,4007,379,AR,9,17627986.0,0.4,0.0075393293667341274,0.0075393293667341274,2023
040071,4060,19,AR,2,198323041.0,0.4,0.08482096179968128,0.08482096179968128,2023
040072,4069,19,AR,2,24548855.0,0.4,0.010499322124557954,0.010499322124557954,2023
040076,4043,19,AR,2,18665130.0,0.4,0.007982906427479019,0.007982906427479019,2023
040078,4035,19,AR,4,145531412.0,0.4,0.06224246197347124,0.06224246197347124,2023
040084,4004,19,AR,4,92874195.0,0.4,0.03972144893780219,0.03972144893780219,2023
040085,4033,379,AR,4,10004514.0,0.4,0.0042788396927534835,0.0042788396927534835,2023
040088,4024,19,AR,4,61712868.0,0.4,0.026394032648867933,0.026394032648867933,2023
040114,4041,19,AR,2,689291302.0,0.4,0.29480362393089043,0.29480362393089043,2023
