hrr,year,n_hospitals_x,hhi_pre,hhi_post,hhi_shift,concentrated_pre,concentrated_post,spend_at_risk_bil,n_hospitals_y,raw_uplift,shift_intensity,blended_uplift,raw_savings_bil
103,2019,120,261.64049339603577,336.8862304815876,75.24573708555181,False,False,5.921494433982794,60,0.07,0.37622868542775906,0.026336007979943135,0.1559485246665597
283,2019,59,334.1346485716544,407.9450310279925,73.81038245633812,False,False,4.681756210799639,34,0.07,0.3690519122816906,0.025833633859718343,0.12094677577026021
273,2019,152,193.48095841821004,261.4121470005818,67.93118858237176,False,False,6.786090258909554,73,0.07,0.3396559429118588,0.023775916003830118,0.16134551199024333
303,2025,71,266.74933295669007,333.53720220235425,66.78786924566418,False,False,18.3336067423427,32,0.07,0.3339393462283209,0.023375754235982465,0.42856188546815405
118,2019,61,283.2809600504184,349.3518259164596,66.07086586604117,False,False,3.637799949353466,34,0.07,0.33035432933020586,0.02312480305311441,0.08412340737542848
344,2019,77,311.8001442024049,374.73869894723657,62.93855474483166,False,False,4.947040667171368,37,0.07,0.3146927737241583,0.022028494160691085,0.10897585644948582
12,2019,113,220.36457480163347,278.403861635555,58.03928683392155,False,False,7.204353858353262,70,0.07,0.2901964341696078,0.020313750391872547,0.14634744601331207
268,2021,125,214.55677406706192,269.58698413327755,55.03021006621563,False,False,5.951783606846395,63,0.07,0.2751510503310782,0.019260573523175475,0.11463476575369551
23,2021,66,242.95342532774174,297.44584367564045,54.492418347898706,False,False,4.828715738186268,32,0.07,0.27246209173949354,0.01907234642176455,0.09209493933091505
357,2020,126,181.40661438067787,232.13597768867282,50.72936330799496,False,False,5.829437646399629,56,0.07,0.2536468165399748,0.017755277157798236,0.10350328108592845
156,2020,73,218.1346139429672,267.45740227117517,49.32278832820796,False,False,6.39048267228175,35,0.07,0.2466139416410398,0.01726297591487279,0.11031874845601174
144,2024,146,163.78020039417285,201.54808672218942,37.76788632801657,False,False,12.4747215178545,72,0.07,0.18883943164008288,0.013218760214805803,0.1649003524909969
391,2019,213,140.92641313225678,178.13982873446977,37.21341560221299,False,False,9.255700200181131,107,0.07,0.18606707801106495,0.013024695460774548,0.12055267638358926
356,2021,154,130.99691976322273,166.98863107897566,35.99171131575292,False,False,10.196117029358616,58,0.07,0.1799585565787646,0.012597098960513524,0.12844149523180767
397,2020,327,126.23646387464457,162.029335462781,35.792871588136435,False,False,14.730234364253906,115,0.07,0.1789643579406822,0.012527505055847755,0.18453308547201316
227,2019,165,133.19370917255608,156.14678361541237,22.95307444285629,False,False,12.214220587141122,70,0.07,0.11476537221428146,0.008033576054999703,0.09812387003934134
56,2025,268,88.87535187341696,107.7263257077617,18.850973834344742,False,False,17.94894176235961,99,0.07,0.09425486917172371,0.0065978408420206604,0.11842426103074652
