hsa,year,n_hospitals,hhi_pre,hhi_post,hhi_shift,concentrated_pre,concentrated_post,spend_at_risk_bil,n_hospitals_spend,raw_uplift,shift_intensity,blended_uplift,raw_savings_bil,booked_savings_bil
14093,2023,2,6326.905417814508,10000.0,3673.094582185492,True,True,0.112131854697547,2.0,0.153,1.0,0.153,0.01715617376872469,0.01715617376872469
50062,2021,2,6348.002958579881,10000.0,3651.997041420119,True,True,0.011344435940397822,1.0,0.153,1.0,0.153,0.0017356986988808667,0.0017356986988808667
37079,2025,2,6348.002958579881,10000.0,3651.997041420119,True,True,0.0052826054515090065,1.0,0.153,1.0,0.153,0.0008082386340808779,0.0008082386340808779
31034,2020,5,3970.063688330832,7608.823303777494,3638.7596154466623,True,True,0.9681724175478218,4.0,0.153,1.0,0.153,0.14813037988481673,0.14813037988481673
36112,2021,2,6371.8820861678,10000.0,3628.1179138322004,True,True,0.02419063879623341,1.0,0.153,1.0,0.153,0.0037011677358237114,0.0037011677358237114
14069,2022,4,4422.090729783037,8049.061290086932,3626.9705603038947,True,True,0.2483872943828296,2.0,0.153,1.0,0.153,0.03800325604057293,0.03800325604057293
26013,2020,5,3715.100705577814,7340.292074449037,3625.1913688712225,True,True,0.39457313575704916,4.0,0.153,1.0,0.153,0.06036968977082852,0.06036968977082852
32014,2021,4,3734.4250622997506,7322.890708437168,3588.465646137417,True,True,0.016188902421077483,1.0,0.153,1.0,0.153,0.0024769020704248548,0.0024769020704248548
5084,2021,4,4235.814339981007,7809.85188837753,3574.0375483965227,True,True,0.41282841141098026,3.0,0.153,1.0,0.153,0.06316274694587998,0.06316274694587998
10099,2025,3,3806.1206953532956,7365.377751338491,3559.2570559851956,True,True,0.1863670148430585,2.0,0.153,1.0,0.153,0.02851415327098795,0.02851415327098795
10025,2024,3,4003.52733686067,7551.020408163265,3547.4930713025947,True,True,-0.017731604488854767,1.0,0.153,1.0,0.153,-0.0027129354867947795,-0.0027129354867947795
1022,2023,3,3817.762399077278,7354.863514033063,3537.1011149557853,True,True,0.07809386366089342,2.0,0.153,1.0,0.153,0.011948361140116694,0.011948361140116694
14070,2021,2,6464.944028280448,10000.0,3535.055971719552,True,True,0.019937599557601465,1.0,0.153,1.0,0.153,0.003050452732313024,0.003050452732313024
37024,2021,3,3750.0000000000005,7222.2222222222235,3472.222222222223,True,True,0.003089490294504869,1.0,0.153,1.0,0.153,0.00047269201505924495,0.00047269201505924495
14037,2025,5,3594.9921875767727,7065.624355106571,3470.632167529798,True,True,0.22943363711032375,4.0,0.153,1.0,0.153,0.035103346477879535,0.035103346477879535
14039,2021,3,3751.6474419719198,7222.222222222221,3470.574780250301,True,True,0.2884969925745473,2.0,0.153,1.0,0.153,0.04414003986390574,0.04414003986390574
52093,2022,2,6575.869498307172,10000.0,3424.130501692828,True,True,0.04749438863934098,1.0,0.153,1.0,0.153,0.00726664146181917,0.00726664146181917
14088,2019,2,6601.993592025632,10000.0,3398.006407974368,True,True,0.02010631036301998,1.0,0.153,1.0,0.153,0.003076265485542057,0.003076265485542057
14005,2025,4,3799.6288,7186.508800000001,3386.8800000000015,True,True,0.24105035861909943,2.0,0.153,1.0,0.153,0.03688070486872221,0.03688070486872221
16098,2025,6,3585.527449291252,6947.8580938209725,3362.3306445297203,True,True,0.20798670392971189,4.0,0.153,1.0,0.153,0.031821965701245916,0.031821965701245916
36084,2022,2,6659.0923570260575,10000.0,3340.9076429739425,True,True,0.05013435098178481,1.0,0.153,1.0,0.153,0.007670555700213076,0.007670555700213076
31054,2020,3,3686.6192482980873,7004.633778913445,3318.0145306153577,True,True,0.08806099758360127,2.0,0.153,1.0,0.153,0.013473332630290994,0.013473332630290994
