hcpcs_cd,n_measures,measures_list,min_share,mean_share,max_share,phys_paid,hopd_paid,combined_paid,combined_alowd,lv_paid_min,lv_paid_mean,lv_paid_max,patient_oop_mean
78452,2,"preopst,stress",0.4,0.45,0.5,251875907.60094687,0.0,251875907.60094687,322548979.41937274,100750363.04037875,113344158.4204261,125937953.80047344,31802882.318291634
78453,2,"preopst,stress",0.4,0.45,0.5,33815.659999507,0.0,33815.659999507,44207.66000040899,13526.2639998028,15217.04699977815,16907.8299997535,4676.400000405896
78454,2,"preopst,stress",0.4,0.45,0.5,231915.43000011,0.0,231915.43000011,310375.100000125,92766.17200004401,104361.9435000495,115957.715000055,35306.85150000677
78460,2,"preopst,stress",0.4,0.45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78461,2,"preopst,stress",0.4,0.45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78464,2,"preopst,stress",0.4,0.45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78465,2,"preopst,stress",0.4,0.45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78472,2,"preopst,stress",0.4,0.45,0.5,746436.340005408,0.0,746436.340005408,965339.300004066,298574.53600216325,335896.3530024336,373218.170002704,98506.33199939609
78473,2,"preopst,stress",0.4,0.45,0.5,41331.929999516,0.0,41331.929999516,53478.81000058501,16532.771999806402,18599.368499782202,20665.964999758,5466.096000481051
78481,2,"preopst,stress",0.4,0.45,0.5,85766.18000078,0.0,85766.18000078,110156.18000146,34306.472000312,38594.781000351,42883.09000039,10975.500000305998
78483,2,"preopst,stress",0.4,0.45,0.5,8145.200000067,0.0,8145.200000067,10237.530000045,3258.0800000268,3665.34000003015,4072.6000000335,941.5484999901009
78491,2,"preopst,stress",0.4,0.45,0.5,124065.150000654,0.0,124065.150000654,156654.519999182,49626.060000261605,55829.3175002943,62032.575000327,14665.216499337592
78492,2,"preopst,stress",0.4,0.45,0.5,104906262.94319408,0.0,104906262.94319408,131983052.70442487,41962505.17727763,47207818.324437335,52453131.47159704,12184555.392553858
81240,1,hyperco,0.35,0.35,0.35,516724.9799986101,0.0,516724.9799986101,516724.9799986101,180853.74299951352,180853.74299951352,180853.74299951352,0.0
81241,1,hyperco,0.35,0.35,0.35,1551127.560009,0.0,1551127.560009,1551127.560009,542894.6460031499,542894.6460031499,542894.6460031499,0.0
82270,2,"cncr,colon",0.1,0.125,0.15,566156.7800052505,0.0,566156.7800052505,566156.7800052505,56615.67800052505,70769.59750065631,84923.51700078757,0.0
82652,1,vitd,0.35,0.35,0.35,6197808.480000336,0.0,6197808.480000336,6197808.480000336,2169232.968000117,2169232.968000117,2169232.968000117,0.0
83090,2,"homocy,hyperco",0.35,0.55,0.75,4452943.689896139,0.0,4452943.689896139,4452943.689896139,1558530.2914636487,2449119.029442877,3339707.7674221043,0.0
83970,1,pth,0.4,0.4,0.4,69721721.9803886,0.0,69721721.9803886,69721721.9803886,27888688.79215544,27888688.79215544,27888688.79215544,0.0
84152,2,"cncr,psa",0.1,0.45,0.8,154716.499998646,0.0,154716.499998646,154716.499998646,15471.649999864601,69622.4249993907,123773.19999891681,0.0
84153,2,"cncr,psa",0.1,0.45,0.8,57487009.12157839,0.0,57487009.12157839,57487049.58141823,5748700.912157839,25869154.104710273,45989607.29726271,18.206927932798862
84154,2,"cncr,psa",0.1,0.45,0.8,8546011.539778912,0.0,8546011.539778912,8546011.539778912,854601.1539778913,3845705.1929005105,6836809.2318231305,0.0
84480,1,t3,0.5,0.5,0.5,8135039.159932447,0.0,8135039.159932447,8135039.159932447,4067519.5799662233,4067519.5799662233,4067519.5799662233,0.0
84481,1,t3,0.5,0.5,0.5,24624052.520419665,0.0,24624052.520419665,24624055.91050378,12312026.260209832,12312026.260209832,12312026.260209832,1.6950420569628477
