hcpcs_cd,n_measures,measures_list,min_share,mean_share,max_share,phys_paid,hopd_paid,combined_paid,combined_alowd,lv_paid_min,lv_paid_mean,lv_paid_max,patient_oop_mean
85300,1,hyperco,0.35,0.35,0.35,180216.399992493,0.0,180216.399992493,180216.399992493,63075.73999737255,63075.73999737255,63075.73999737255,0.0
85303,1,hyperco,0.35,0.35,0.35,220743.019995592,0.0,220743.019995592,220743.019995592,77260.05699845719,77260.05699845719,77260.05699845719,0.0
85306,1,hyperco,0.35,0.35,0.35,321783.14000574604,0.0,321783.14000574604,321783.14000574604,112624.0990020111,112624.0990020111,112624.0990020111,0.0
85613,1,hyperco,0.35,0.35,0.35,508808.450001688,0.0,508808.450001688,508808.450001688,178082.95750059077,178082.95750059077,178082.95750059077,0.0
86147,1,hyperco,0.35,0.35,0.35,5767292.879900753,0.0,5767292.879900753,5767292.879900753,2018552.5079652632,2018552.5079652632,2018552.5079652632,0.0
92920,1,pci,0.45,0.45,0.45,6555008.97005974,24667125.11999992,31222134.09005966,38973827.69999924,14049960.340526847,14049960.340526847,14049960.340526847,3488262.1244728137
92924,1,pci,0.45,0.45,0.45,693308.72999316,5989354.989999995,6682663.7199931545,7819067.780004933,3007198.6739969198,3007198.6739969198,3007198.6739969198,511381.82700529974
92928,1,pci,0.45,0.45,0.45,81689281.20950831,30221746.360000007,111911027.56950831,138616742.12011075,50359962.406278744,50359962.406278744,50359962.406278744,12017571.547771096
92933,1,pci,0.45,0.45,0.45,6627529.429953991,4085783.759999976,10713313.189953966,12854872.929972744,4820990.935479285,4820990.935479285,4820990.935479285,963701.8830084493
92937,1,pci,0.45,0.45,0.45,4545184.28995555,5172782.230000008,9717966.519955557,11853999.710047532,4373084.933980001,4373084.933980001,4373084.933980001,961214.9355413886
92943,1,pci,0.45,0.45,0.45,3497487.57001728,9114352.929999994,12611840.500017274,15156458.119984664,5675328.225007773,5675328.225007773,5675328.225007773,1145077.9289853256
92980,1,pci,0.45,0.45,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92982,1,pci,0.45,0.45,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93015,2,"preopst,stress",0.4,0.45,0.5,41816852.870036095,0.0,41816852.870036095,53501292.02989476,16726741.14801444,18817583.791516244,20908426.435018048,5257997.6219363995
93016,2,"preopst,stress",0.4,0.45,0.5,11915863.409762004,0.0,11915863.409762004,15762198.089954255,4766345.363904802,5362138.534392902,5957931.704881002,1730850.606086513
93017,2,"preopst,stress",0.4,0.45,0.5,1766216.1200338202,0.0,1766216.1200338202,2268667.109974356,706486.4480135281,794797.254015219,883108.0600169101,226102.94547324115
